T	<eps>		<m>		C_V		Sucept.80
2	-1.7455		0.911216	0.72352		0.394236
2.03	-1.72286	0.900682	0.784236	0.48555
2.06	-1.69822	0.888321	0.852872	0.633912
2.09	-1.67166	0.874179	0.925978	0.831571
2.12	-1.64252	0.857355	1.00905		1.13053
2.15	-1.60964	0.835503	1.12656		1.77892
2.18	-1.57379	0.809267	1.2613		2.6647
2.21	-1.53118	0.767573	1.50818		7.16446
2.24	-1.48113	0.700947	1.90078		23.4397
2.27	-1.41605	0.544359	2.41046		90.8113
2.3	-1.35179	0.3831		2.02603		88.4965
2.33	-1.29561	0.240579	1.58941		63.2496
2.36	-1.25305	0.174762	1.31665		37.1902
2.39	-1.21558	0.135282	1.17004		26.1647
2.42	-1.18237	0.113521	1.05662		18.5784
2.45	-1.15183	0.096906	0.973883	13.4886
2.48	-1.1236		0.0867137	0.899772	10.7486
2.51	-1.09721	0.0767753	0.841659	8.3497
2.54	-1.07309	0.0701208	0.798788	6.91932
2.57	-1.05018	0.0630215	0.7517		5.65421
2.6	-1.02837	0.0595392	0.702724	4.89909
2.63	-1.00773	0.0564053	0.667981	4.30285
