         Sample#               E               M           <eps>             <m>             C_V        Suscept.
               0             -36              -4            -nan            -nan            -nan            -nan
             100            -800             400         -1.7734          0.5742         16.8482         52.4607
             200            -800             400         -1.8856        0.786825         13.4675         44.3146
             300            -800             400        -1.92283         0.85765          10.094         33.5565
             400            -800             400        -1.94133        0.893038          7.9862         26.6704
             500            -800             400        -1.95258         0.91431         6.59566         22.0606
             600            -792             398        -1.95977          0.9284         5.60558         18.7814
             700            -800             400        -1.96531        0.938579         4.88013         16.3471
             800            -800             400        -1.96939        0.946188          4.3186         14.4659
             900            -800             400        -1.97229        0.952033          3.8699         12.9683
            1000            -800             400        -1.97488        0.956785         3.50871         11.7528
            1100            -800             400        -1.97692         0.96065         3.20846         10.7443
            1200            -800             400        -1.97861        0.963871         2.95553          9.8947
            1300            -800             400        -1.98012        0.966615         2.74009         9.16979
            1400            -800             400        -1.98111        0.968893         2.55293           8.542
            1500            -800             400        -1.98232        0.970953         2.39129         7.99633
            1600            -800             400        -1.98324        0.972722         2.24827         7.51542
            1700            -800             400        -1.98406        0.974282          2.1215         7.08901
            1800            -800             400        -1.98477        0.975667         2.00824         6.70828
            1900            -800             400        -1.98543        0.976913         1.90685         6.36647
            2000            -800             400        -1.98591        0.978005         1.81651         6.05741
            2100            -800             400        -1.98641         0.97901          1.7335         5.77713
            2200            -800             400        -1.98685        0.979914         1.65826          5.5216
            2300            -800             400        -1.98728        0.980748         1.58883         5.28773
            2400            -792             398        -1.98771        0.981525          1.5253         5.07303
            2500            -800             400         -1.9881        0.982238         1.46658         4.87504
            2600            -800             400        -1.98852        0.982913         1.41224         4.69212
            2700            -800             400        -1.98889        0.983531         1.36188         4.52234
            2800            -800             400        -1.98913         0.98408         1.31528         4.36418
            2900            -800             400        -1.98938        0.984598         1.27167         4.21676
            3000            -800             400        -1.98968        0.985098         1.23072         4.07913
            3100            -800             400        -1.98993        0.985556         1.19235          3.9501
            3200            -800             400        -1.99022        0.986002         1.15632         3.82913
            3300            -800             400        -1.99046        0.986412         1.12246         3.71528
            3400            -800             400        -1.99068        0.986796         1.09062         3.60798
            3500            -800             400        -1.99091        0.987166         1.06044         3.50678
            3600            -800             400        -1.99109        0.987504         1.03194           3.411
            3700            -800             400        -1.99127        0.987826         1.00498         3.32033
            3800            -800             400        -1.99149        0.988143        0.979331         3.23446
            3900            -800             400        -1.99154        0.988404        0.955662         3.15264
            4000            -800             400        -1.99166        0.988672        0.932611         3.07499
            4100            -800             400        -1.99178        0.988927        0.910888         3.00108
            4200            -792             398        -1.99193         0.98918        0.889895         2.93069
            4300            -800             400        -1.99208        0.989422        0.869928         2.86354
            4400            -800             400         -1.9922        0.989645        0.851054         2.79936
            4500            -800             400        -1.99234        0.989868        0.832801         2.73804
            4600            -792             398        -1.99239        0.990059        0.815586         2.67923
            4700            -800             400        -1.99247         0.99025        0.799159         2.62296
            4800            -800             400        -1.99261        0.990447        0.783025         2.56906
            4900            -800             400         -1.9927        0.990626        0.767664         2.51727
            5000            -800             400        -1.99276        0.990793        0.753101         2.46752
            5100            -800             400        -1.99283        0.990955        0.739096         2.41971
            5200            -800             400        -1.99291        0.991115        0.725582         2.37373
            5300            -800             400        -1.99301        0.991273        0.712442         2.32949
            5400            -792             398        -1.99309        0.991422        0.699724         2.28684
            5500            -800             400        -1.99319        0.991571        0.687418         2.24575
            5600            -800             400        -1.99329        0.991716        0.675524         2.20613
            5700            -800             400        -1.99339        0.991857        0.664032         2.16787
            5800            -800             400        -1.99342        0.991976        0.653221         2.13087
            5900            -800             400        -1.99346        0.992095        0.642697         2.09511
            6000            -800             400         -1.9935        0.992207        0.632731         2.06055
            6100            -800             400        -1.99357        0.992325        0.622805         2.02712
            6200            -792             398        -1.99363        0.992437        0.613272         1.99476
            6300            -800             400        -1.99367        0.992542         0.60397          1.9634
            6400            -800             400        -1.99372        0.992646        0.594979         1.93302
            6500            -800             400        -1.99379        0.992752        0.586149         1.90358
            6600            -800             400        -1.99385        0.992855        0.577592         1.87502
            6700            -788             396        -1.99392        0.992954        0.569292         1.84732
            6800            -800             400        -1.99399        0.993054        0.561181         1.82042
            6900            -800             400        -1.99407        0.993152        0.553292         1.79431
            7000            -800             400        -1.99411        0.993239        0.545887         1.76891
            7100            -800             400        -1.99415        0.993323        0.538587         1.74422
            7200            -800             400         -1.9942        0.993408        0.531432         1.72021
            7300            -800             400        -1.99425        0.993492        0.524418         1.69686
            7400            -800             400        -1.99427        0.993564        0.517809         1.67412
            7500            -800             400        -1.99431        0.993641        0.511207         1.65199
            7600            -792             398        -1.99434        0.993714        0.504828         1.63043
            7700            -800             400        -1.99439        0.993788        0.498579         1.60945
            7800            -800             400        -1.99442        0.993857        0.492501         1.58898
            7900            -800             400        -1.99448        0.993932        0.486468         1.56904
            8000            -800             400        -1.99449        0.993993        0.480838         1.54959
            8100            -800             400        -1.99453        0.994058        0.475224         1.53061
            8200            -800             400        -1.99458        0.994127        0.469626          1.5121
            8300            -800             400         -1.9946        0.994187        0.464337         1.49403
            8400            -800             400        -1.99462        0.994246        0.459105         1.47637
            8500            -800             400        -1.99466        0.994306        0.453982         1.45914
            8600            -792             398         -1.9947        0.994366        0.448977         1.44231
            8700            -800             400        -1.99473        0.994424        0.444049         1.42586
            8800            -800             400        -1.99476        0.994478         0.43934         1.40979
            8900            -800             400        -1.99479        0.994535        0.434612         1.39407
            9000            -800             400         -1.9948        0.994583        0.430145         1.37869
            9100            -800             400        -1.99484        0.994637         0.42562         1.36365
            9200            -800             400        -1.99485        0.994683        0.421408         1.34893
            9300            -792             398        -1.99488        0.994734        0.417117         1.33454
            9400            -792             398        -1.99491        0.994786        0.412891         1.32045
            9500            -800             400        -1.99493        0.994831        0.408912         1.30665
            9600            -800             400        -1.99494        0.994873        0.404948         1.29313
            9700            -800             400        -1.99498        0.994923        0.400928          1.2799
            9800            -800             400        -1.99498        0.994961        0.397265         1.26693
            9900            -800             400        -1.99501        0.995008        0.393426         1.25423
           10000            -800             400        -1.99504        0.995052        0.389679         1.24177
