T	<eps>		<m>		C_V		Sucept.60
2	-1.7456		0.911295	0.727409	0.392425
2.03	-1.7231		0.900921	0.78833		0.480983
2.06	-1.69854	0.888761	0.856618	0.615979
2.09	-1.67168	0.874335	0.940089	0.839485
2.12	-1.64242	0.857396	1.02549		1.14623
2.15	-1.61029	0.836655	1.12306		1.6303
2.18	-1.57382	0.808925	1.27498		2.94653
2.21	-1.53129	0.767296	1.52516		7.28181
2.24	-1.48063	0.695841	1.9306		27.7658
2.27	-1.4236		0.606608	2.10582		36.8585
2.3	-1.35752	0.45085		2.052		57.4022
2.33	-1.29856	0.301929	1.66278		51.0114
2.36	-1.25332	0.225773	1.37974		35.8086
2.39	-1.21632	0.181269	1.17892		24.4789
2.42	-1.18192	0.149663	1.05522		17.0007
2.45	-1.15206	0.130149	0.974481	13.0159
2.48	-1.12403	0.11484		0.910902	10.6204
2.51	-1.09796	0.101616	0.841538	8.22359
2.54	-1.07359	0.0946367	0.788215	6.9892
2.57	-1.05005	0.0870552	0.750117	5.87328
2.6	-1.02818	0.0795054	0.700655	4.95426
2.63	-1.00766	0.075115	0.662844	4.27539

