         Sample#               E               M           <eps>             <m>             C_V        Suscept.
            4600            -432             -36         -1.2353        0.454158         1.50099         8.62638
            4700            -452              26        -1.23286        0.448072         1.50668         8.77664
            4800            -540             306        -1.23067        0.445219         1.51523         8.81124
            4900            -552             276         -1.2327        0.449915         1.51224         8.82969
            5000            -532             254        -1.23484        0.453922         1.52572          8.8631
            5100            -536             272        -1.23744        0.458496         1.53636         8.88944
            5200            -592             326        -1.24071        0.463477         1.57358         8.98535
            5300            -508             150        -1.24168         0.46581         1.57701         8.96414
            5400            -408             184        -1.24229        0.466931         1.56215          8.8407
            5500            -532             222        -1.24407        0.470098         1.57038          8.8289
            5600            -552             300        -1.24672        0.474758         1.58185         8.88714
            5700            -488             214        -1.24614        0.474976          1.5707         8.78302
            5800            -524             250        -1.24685        0.477158         1.55914         8.68759
            5900            -536             284        -1.24805        0.479581         1.55132         8.63352
            6000            -424             202        -1.24964        0.482648         1.56018          8.6294
            6100            -644             354        -1.25149        0.486348         1.56625         8.65584
            6200            -560             286        -1.25072         0.48595         1.56748         8.60791
            6300            -460             146         -1.2521        0.488754         1.57577         8.60529
            6400            -544            -280        -1.25075        0.486585         1.57477         8.58405
            6500            -488             -98        -1.25147        0.487765         1.57888         8.59186
            6600            -452               0        -1.25017         0.48297         1.57213         8.74134
            6700            -516            -290        -1.25009        0.483087          1.5727         8.71687
            6800            -488            -272        -1.25129        0.485735         1.56753         8.69702
            6900            -464             -70        -1.25025        0.483568         1.55948         8.68529
            7000            -428             -44        -1.24828        0.478375          1.5625         8.88493
            7100            -456              18        -1.24698        0.475061         1.55615         8.93616
            7200            -564            -250        -1.24565        0.471894         1.55156         9.00617
            7300            -416             -56          -1.245        0.471262         1.54879         8.95919
            7400            -532            -274        -1.24347        0.469195         1.54897          8.9566
            7500            -552            -294        -1.24469        0.471784         1.55076         8.93715
            7600            -496             -86        -1.24489        0.472822         1.54256         8.86698
            7700            -516             -86        -1.24362        0.469012         1.53876         8.95653
            7800            -532            -250        -1.24397        0.469823          1.5316         8.88922
            7900            -452             -20        -1.24353        0.467403         1.52752         8.95886
            8000            -484            -248         -1.2424        0.465065         1.52545         8.98455
            8100            -516            -128        -1.24287        0.466257         1.51858         8.94171
            8200            -512            -172        -1.24222        0.463238         1.51156         8.98411
            8300            -476             170        -1.24142        0.461158         1.50309         8.98274
            8400            -392            -130         -1.2403        0.458986         1.50074         8.98899
            8500            -412              62        -1.23967        0.456582         1.49325         9.00759
            8600            -508            -112        -1.23826        0.452617         1.49408         9.14788
            8700            -384             -76        -1.23632        0.450099         1.50616         9.17036
            8800            -472            -172        -1.23511        0.448257         1.50561         9.13364
            8900            -484             -62        -1.23437        0.445371         1.49665         9.18154
            9000            -468             206        -1.23314        0.442647         1.49447         9.23823
            9100            -472             148        -1.23282        0.443109          1.4856         9.16752
            9200            -520             144        -1.23277        0.443914         1.47664         9.09515
            9300            -520            -130        -1.23164        0.441647         1.47389         9.11174
            9400            -432             -76        -1.23053        0.438572         1.47284         9.17411
            9500            -552             290        -1.23106        0.439428         1.47198         9.18268
            9600            -496             178        -1.23158        0.440548         1.47283         9.14569
            9700            -464             192        -1.23215        0.441658         1.46581         9.08219
            9800            -480             238        -1.23266        0.442832         1.46846         9.05634
            9900            -496             242        -1.23378        0.444831         1.46823         9.03996
           10000            -580             300        -1.23397        0.445738         1.46403          9.0056
