         Sample#               E               M           <eps>             <m>             C_V        Suscept.
               0            -800             400            -nan            -nan            -nan            -nan
             100            -592             288         -1.4044         0.73255         1.67504         1.76879
             200            -400              32         -1.2792        0.536325         2.38065           11.65
             300            -492            -232        -1.26757        0.517683         2.05322         10.6645
             400            -488              18         -1.2562        0.495537         1.76153         9.72034
             500            -424             112        -1.23804         0.44316         1.63062         10.0221
             600            -540             268         -1.2238        0.431975         1.75782         10.3334
             700            -488             222           -1.24        0.467936         1.80903         10.3772
             800            -468             116        -1.23667         0.46565         1.70731         9.84853
             900            -500             238        -1.23479        0.462039          1.6498         9.60477
            1000            -400             112        -1.23341         0.46702         1.56512         9.01489
            1100            -632             336        -1.22756        0.454373         1.57783          9.3272
            1200            -648             342        -1.23089        0.466558         1.57215         9.06275
            1300            -480             -96        -1.22657        0.454196         1.59043         9.55325
            1400            -520            -258        -1.22344        0.454164         1.54672         9.08816
            1500            -560            -290        -1.22635          0.4625         1.52158         8.79735
            1600            -648            -356        -1.23412        0.476775         1.54163         8.81264
            1700            -428            -160        -1.23828        0.484056         1.56177          8.6853
            1800            -476            -212        -1.24443        0.494681         1.57455         8.63593
            1900            -580            -308        -1.25062        0.502613          1.5768         8.43985
            2000            -440            -128        -1.25285        0.506232         1.66735         8.54982
            2100            -528            -194        -1.24841        0.500374         1.65773         8.39533
            2200            -488            -238        -1.24586          0.4963         1.62333         8.16013
            2300            -440            -220        -1.25157        0.504539         1.63426         8.13131
            2400            -484            -126        -1.25126        0.505219         1.61758         7.93903
            2500            -572             308        -1.25224        0.502616         1.61598         7.94996
            2600            -440             -22        -1.25362        0.503808         1.61396         7.95595
            2700            -472            -156        -1.25077        0.496859           1.587         8.03057
            2800            -600            -336         -1.2504        0.496193         1.57879         7.92631
            2900            -476             138         -1.2485        0.495769         1.58908         7.92158
            3000            -484             142        -1.24617        0.486867         1.56326         8.16835
            3100            -440             102        -1.24434        0.480279         1.54815         8.16934
            3200            -488             116        -1.24132        0.470089         1.53461         8.51129
            3300            -440              68        -1.24105        0.467612          1.5147         8.38338
            3400            -548             214        -1.23889        0.462215         1.50768         8.37724
            3500            -424             158        -1.23698        0.457064         1.49196         8.41824
            3600            -516             256        -1.23816        0.461001         1.48722         8.34792
            3700            -452              22        -1.24047        0.464266         1.53041          8.5164
            3800            -508             238        -1.24004        0.462826         1.52011         8.54682
            3900            -396             -40        -1.24136        0.464662         1.53067         8.60979
            4000            -456             206        -1.23905        0.462536         1.53069         8.53212
            4100            -468             154        -1.24161        0.467748         1.54592         8.56086
            4200            -456             120        -1.24034        0.464843         1.53794         8.50552
            4300            -548             298        -1.23859         0.46347         1.52691          8.4209
            4400            -504             188        -1.23835        0.462025         1.50513         8.35803
            4500            -416              44        -1.23794         0.46188         1.49785          8.3434
