             x_1            v_x1             x_2            v_x2
  6.49879533e+01  1.01918556e+02 -2.48947846e+02 -3.86831762e+02
  6.59497769e+01  9.04266310e+01 -2.52823623e+02 -3.88295291e+02
  6.67961057e+01  7.88206355e+01 -2.56713187e+02 -3.89589181e+02
  6.75258299e+01  6.71067346e+01 -2.60614838e+02 -3.90712730e+02
  6.81379014e+01  5.52911513e+01 -2.64526871e+02 -3.91665326e+02
  6.86313349e+01  4.33801624e+01 -2.68447573e+02 -3.92446446e+02
  6.90052077e+01  3.13800955e+01 -2.72375227e+02 -3.93055661e+02
  6.92586611e+01  1.92973255e+01 -2.76308112e+02 -3.93492630e+02
  6.93909000e+01  7.13827133e+00 -2.80244505e+02 -3.93757106e+02
  6.94011938e+01 -5.09060764e+00 -2.84182679e+02 -3.93848931e+02
  6.92888767e+01 -1.73828149e+01 -2.88120908e+02 -3.93768041e+02
  6.90533481e+01 -2.97318202e+01 -2.92057464e+02 -3.93514463e+02
  6.86940728e+01 -4.21310633e+01 -2.95990622e+02 -3.93088313e+02
  6.82105814e+01 -5.45739569e+01 -2.99918656e+02 -3.92489801e+02
  6.76024702e+01 -6.70538909e+01 -3.03839844e+02 -3.91719229e+02
  6.68694022e+01 -7.95642350e+01 -3.07752468e+02 -3.90776988e+02
  6.60111063e+01 -9.20983431e+01 -3.11654813e+02 -3.89663562e+02
  6.50273783e+01 -1.04649556e+02 -3.15545171e+02 -3.88379524e+02
  6.39180804e+01 -1.17211206e+02 -3.19421837e+02 -3.86925540e+02
  6.26831416e+01 -1.29776620e+02 -3.23283117e+02 -3.85302362e+02
  6.13225577e+01 -1.42339120e+02 -3.27127323e+02 -3.83510836e+02
  5.98363912e+01 -1.54892034e+02 -3.30952776e+02 -3.81551896e+02
  5.82247712e+01 -1.67428692e+02 -3.34757807e+02 -3.79426562e+02
  5.64878937e+01 -1.79942433e+02 -3.38540756e+02 -3.77135946e+02
  5.46260211e+01 -1.92426609e+02 -3.42299979e+02 -3.74681247e+02
  5.26394822e+01 -2.04874586e+02 -3.46033839e+02 -3.72063748e+02
  5.05286721e+01 -2.17279751e+02 -3.49740715e+02 -3.69284822e+02
  4.82940519e+01 -2.29635512e+02 -3.53419002e+02 -3.66345925e+02
