             z_1            v_z1             z_2            v_z2
  1.88632393e+03 -6.80603033e+02 -5.46468523e+01  6.86823639e+02
  1.81377818e+03 -1.73770602e+01  1.41119086e+01 -3.93770764e+02
  1.73250150e+03 -1.42329004e+02  8.28027293e+01 -3.83515326e+02
  1.64288513e+03 -2.66327728e+02  1.51094953e+02 -3.56591059e+02
  1.54536046e+03 -3.82813535e+02  2.18659840e+02 -3.14403310e+02
  1.44039695e+03 -4.85622913e+02  2.85172152e+02 -2.59163053e+02
  1.32849985e+03 -5.69313989e+02  3.50311714e+02 -1.93770185e+02
  1.21020782e+03 -6.29453859e+02  4.13764959e+02 -1.21660446e+02
  1.08609029e+03 -6.62852597e+02  4.75226428e+02 -4.66240736e+01
  9.56744739e+02 -6.67731425e+02  5.34400237e+02  2.73940712e+01
  8.22793877e+02 -6.43815613e+02  5.91001473e+02  9.65017990e+01
  6.84882772e+02 -5.92343065e+02  6.44757400e+02  1.57059234e+02
  5.43685948e+02 -5.15902504e+02  6.95398591e+02  2.05774612e+02
  3.99882005e+02 -4.19298366e+02  7.42682349e+02  2.40879736e+02
  2.54152260e+02 -3.06489288e+02  7.86391976e+02  2.59415593e+02
  1.07198900e+02 -1.83859306e+02  8.26316376e+02  2.60868897e+02
 -4.02705752e+01 -5.78837943e+01  8.62263251e+02  2.45202293e+02
 -1.87546255e+02  6.47999398e+01  8.94059526e+02  2.13268909e+02
 -3.33919185e+02  1.77731533e+02  9.21552124e+02  1.66778958e+02
 -4.78684761e+02  2.74966991e+02  9.44608695e+02  1.08211181e+02
 -6.21146124e+02  3.51392107e+02  9.63118246e+02  4.06824331e+01
 -7.60617506e+02  4.02992256e+02  9.76991674e+02 -3.22166337e+01
 -8.96427534e+02  4.27063926e+02  9.86162193e+02 -1.06610714e+02
 -1.02792246e+03  4.22355877e+02  9.90585658e+02 -1.78542907e+02
 -1.15446931e+03  3.89125943e+02  9.90240775e+02 -2.44174421e+02
 -1.27545893e+03  3.28954686e+02  9.85129201e+02 -2.99814593e+02
 -1.39030891e+03  2.46002060e+02  9.75275543e+02 -3.43455955e+02
 -1.49846640e+03  1.43505056e+02  9.60727231e+02 -3.71597613e+02
 -1.59941077e+03  2.73110992e+01  9.41554296e+02 -3.83134500e+02
 -1.69265609e+03 -9.63946064e+01  9.17849029e+02 -3.77451917e+02
 -1.77775353e+03 -2.21045554e+02  8.89725541e+02 -3.54828191e+02
 -1.85429344e+03 -3.40027549e+02  8.57319207e+02 -3.16433165e+02
 -1.92190739e+03 -4.47025950e+02  8.20786022e+02 -2.64268501e+02
