             x_1            v_x1             x_2            v_x2
  6.49879533e+01  1.01918556e+02 -2.48947846e+02 -3.86831762e+02
  6.92883902e+01 -1.73800864e+01 -2.88120156e+02 -3.93767738e+02
  6.13221513e+01 -1.42333296e+02 -3.27125800e+02 -3.83511035e+02
  4.08531990e+01 -2.66332048e+02 -3.64264283e+02 -3.56586740e+02
  8.30682404e+00 -3.82817021e+02 -3.97932043e+02 -3.14399824e+02
 -3.52527458e+01 -4.85625024e+02 -4.26707098e+02 -2.59160942e+02
 -8.81784809e+01 -5.69314493e+02 -4.49424110e+02 -1.93769681e+02
 -1.48327466e+02 -6.29452887e+02 -4.65235893e+02 -1.21661417e+02
 -2.13174004e+02 -6.62850780e+02 -4.73658109e+02 -4.66258896e+01
 -2.79942940e+02 -6.67730310e+02 -4.74594821e+02  2.73929554e+01
 -3.45756153e+02 -6.43819068e+02 -4.68343508e+02  9.65052537e+01
 -4.07784494e+02 -5.92364491e+02 -4.55579325e+02  1.57080661e+02
 -4.63397129e+02 -5.16067973e+02 -4.37319403e+02  2.05940081e+02
 -5.10300417e+02 -4.18942194e+02 -4.14869090e+02  2.40523563e+02
 -5.46658971e+02 -3.06099195e+02 -3.89752980e+02  2.59025500e+02
 -5.71192521e+02 -1.83480392e+02 -3.63634347e+02  2.60489984e+02
 -5.83243461e+02 -5.75427885e+01 -3.38227271e+02  2.44861287e+02
 -5.82811506e+02  6.50820455e+01 -3.15206073e+02  2.12986803e+02
 -5.70553641e+02  1.77938206e+02 -2.96116848e+02  1.66572285e+02
 -5.47749344e+02  2.75086415e+02 -2.82295777e+02  1.08091758e+02
 -5.16232949e+02  3.51417692e+02 -2.74798525e+02  4.06568483e+01
 -4.78296697e+02  4.02923176e+02 -2.74344446e+02 -3.21475529e+01
 -4.36569601e+02  4.26905840e+02 -2.81278564e+02 -1.06452628e+02
 -3.93878531e+02  4.22122930e+02 -2.95553311e+02 -1.78309960e+02
 -3.53098850e+02  3.88851592e+02 -3.16731007e+02 -2.43900070e+02
 -3.17002482e+02  3.28874229e+02 -3.44006943e+02 -2.99734136e+02
 -2.88111456e+02  2.45384361e+02 -3.76251846e+02 -3.42838256e+02
 -2.68564634e+02  1.42817954e+02 -4.12071487e+02 -3.70910511e+02
 -2.60004689e+02  2.66191413e+01 -4.49880282e+02 -3.82442542e+02
 -2.63491283e+02 -9.70473152e+01 -4.87985000e+02 -3.76799208e+02
 -2.79445032e+02 -2.21621607e+02 -5.24674156e+02 -3.54252138e+02
 -3.07625233e+02 -3.40495335e+02 -5.58308367e+02 -3.15965379e+02
 -3.47142510e+02 -4.47360524e+02 -5.87406904e+02 -2.63933928e+02
 -3.96505720e+02 -5.36542776e+02 -6.10725859e+02 -2.00878359e+02
 -4.53700642e+02 -6.03300958e+02 -6.27323808e+02 -1.30101154e+02
 -5.16296294e+02 -6.44077599e+02 -6.36611504e+02 -5.53122744e+01
 -5.81573258e+02 -6.56686776e+02 -6.38382957e+02  1.95667619e+01
 -6.46667236e+02 -6.40429561e+02 -6.32826289e+02  9.06099951e+01
 -7.08720265e+02 -5.96130933e+02 -6.20513761e+02  1.54094363e+02
 -7.65031593e+02 -5.26096213e+02 -6.02371524e+02  2.06696325e+02
 -8.13200248e+02 -4.33989305e+02 -5.79630667e+02  2.45667389e+02
 -8.51251786e+02 -3.24639200e+02 -5.53762178e+02  2.68979264e+02
 -8.77742500e+02 -2.03784933e+02 -5.26399217e+02  2.75430977e+02
 -8.91835609e+02 -7.77724918e+01 -4.99250837e+02  2.64712296e+02
 -8.93345383e+02  4.67803401e+01 -4.74011695e+02  2.37420109e+02
