             x_1             y_1             z_1             x_2             y_2             z_2
  6.49879533e+01 -1.09611891e+03  1.88632393e+03 -2.48947846e+02 -7.95146244e+02 -5.46468523e+01
  6.59497786e+01 -1.10095717e+03  1.87947254e+03 -2.52823624e+02 -7.95503184e+02 -4.77773553e+01
  6.67961126e+01 -1.10584372e+03  1.87253064e+03 -2.56713194e+02 -7.95785785e+02 -4.09055576e+01
  6.75258450e+01 -1.11077587e+03  1.86549856e+03 -2.60614854e+02 -7.95993740e+02 -3.40317902e+01
  6.81379279e+01 -1.11575093e+03  1.85837665e+03 -2.64526898e+02 -7.96126785e+02 -2.71563841e+01
  6.86313754e+01 -1.12076616e+03  1.85116525e+03 -2.68447614e+02 -7.96184693e+02 -2.02796703e+01
  6.90052650e+01 -1.12581883e+03  1.84386470e+03 -2.72375285e+02 -7.96167278e+02 -1.34019800e+01
  6.92587375e+01 -1.13090617e+03  1.83647536e+03 -2.76308189e+02 -7.96074392e+02 -6.52364438e+00
  6.93909979e+01 -1.13602538e+03  1.82899759e+03 -2.80244603e+02 -7.95905929e+02  3.55005243e-01
  6.94013154e+01 -1.14117367e+03  1.82143173e+03 -2.84182801e+02 -7.95661821e+02  7.23363767e+00
  6.92890239e+01 -1.14634821e+03  1.81377817e+03 -2.88121055e+02 -7.95342038e+02  1.41119217e+01
  6.90535229e+01 -1.15154617e+03  1.80603726e+03 -2.92057639e+02 -7.94946595e+02  2.09895260e+01
  6.86942768e+01 -1.15676470e+03  1.79820938e+03 -2.95990826e+02 -7.94475541e+02  2.78661194e+01
  6.82108161e+01 -1.16200094e+03  1.79029490e+03 -2.99918891e+02 -7.93928969e+02  3.47413708e+01
  6.76027372e+01 -1.16725203e+03  1.78229422e+03 -3.03840111e+02 -7.93307009e+02  4.16149491e+01
  6.68697027e+01 -1.17251507e+03  1.77420770e+03 -3.07752769e+02 -7.92609832e+02  4.84865232e+01
  6.60114416e+01 -1.17778720e+03  1.76603574e+03 -3.11655149e+02 -7.91837648e+02  5.53557624e+01
  6.50277494e+01 -1.18306550e+03  1.75777874e+03 -3.15545542e+02 -7.90990707e+02  6.22223357e+01
  6.39184884e+01 -1.18834710e+03  1.74943710e+03 -3.19422245e+02 -7.90069297e+02  6.90859125e+01
  6.26835872e+01 -1.19362910e+03  1.74101121e+03 -3.23283563e+02 -7.89073746e+02  7.59461623e+01
  6.13230417e+01 -1.19890859e+03  1.73250147e+03 -3.27127807e+02 -7.88004422e+02  8.28027547e+01
  5.98369143e+01 -1.20418268e+03  1.72390831e+03 -3.30953299e+02 -7.86861729e+02  8.96553596e+01
  5.82253339e+01 -1.20944847e+03  1.71523213e+03 -3.34758369e+02 -7.85646113e+02  9.65036469e+01
  5.64884964e+01 -1.21470307e+03  1.70647336e+03 -3.38541359e+02 -7.84358055e+02  1.03347287e+02
  5.46266642e+01 -1.21994360e+03  1.69763240e+03 -3.42300622e+02 -7.82998076e+02  1.10185950e+02
  5.26401660e+01 -1.22516717e+03  1.68870970e+03 -3.46034522e+02 -7.81566735e+02  1.17019307e+02
  5.05293967e+01 -1.23037091e+03  1.67970567e+03 -3.49741440e+02 -7.80064626e+02  1.23847028e+02
