               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e-02  6.48736249e+01 -4.81323372e+00  1.88623309e+03 -1.14328489e+01 -1.14328489e+01 -1.14328489e+01
  2.00000000e-02  6.46449651e+01 -9.62383053e+00  1.88605142e+03 -2.28659730e+01 -2.28659730e+01 -2.28659730e+01
  3.00000000e-02  6.43020321e+01 -1.44291534e+01  1.88577893e+03 -3.42932985e+01 -3.42932985e+01 -3.42932985e+01
  4.00000000e-02  6.38449446e+01 -1.92265665e+01  1.88541562e+03 -4.57087511e+01 -4.57087511e+01 -4.57087511e+01
  5.00000000e-02  6.32738820e+01 -2.40134368e+01  1.88496152e+03 -5.71062592e+01 -5.71062592e+01 -5.71062592e+01
  6.00000000e-02  6.25890845e+01 -2.87871352e+01  1.88441664e+03 -6.84797572e+01 -6.84797572e+01 -6.84797572e+01
  7.00000000e-02  6.17908526e+01 -3.35450381e+01  1.88378102e+03 -7.98231887e+01 -7.98231887e+01 -7.98231887e+01
  8.00000000e-02  6.08795475e+01 -3.82845289e+01  1.88305468e+03 -9.11305099e+01 -9.11305099e+01 -9.11305099e+01
  9.00000000e-02  5.98555905e+01 -4.30029991e+01  1.88223767e+03 -1.02395692e+02 -1.02395692e+02 -1.02395692e+02
  1.00000000e-01  5.87194633e+01 -4.76978498e+01  1.88133001e+03 -1.13612727e+02 -1.13612727e+02 -1.13612727e+02
  1.10000000e-01  5.74717070e+01 -5.23664932e+01  1.88033175e+03 -1.24775626e+02 -1.24775626e+02 -1.24775626e+02
  1.20000000e-01  5.61129228e+01 -5.70063540e+01  1.87924295e+03 -1.35878427e+02 -1.35878427e+02 -1.35878427e+02
  1.30000000e-01  5.46437708e+01 -6.16148706e+01  1.87806364e+03 -1.46915197e+02 -1.46915197e+02 -1.46915197e+02
  1.40000000e-01  5.30649704e+01 -6.61894963e+01  1.87679390e+03 -1.57880034e+02 -1.57880034e+02 -1.57880034e+02
  1.50000000e-01  5.13772997e+01 -7.07277014e+01  1.87543378e+03 -1.68767070e+02 -1.68767070e+02 -1.68767070e+02
  1.60000000e-01  4.95815950e+01 -7.52269736e+01  1.87398335e+03 -1.79570475e+02 -1.79570475e+02 -1.79570475e+02
  1.70000000e-01  4.76787504e+01 -7.96848201e+01  1.87244267e+03 -1.90284461e+02 -1.90284461e+02 -1.90284461e+02
  1.80000000e-01  4.56697175e+01 -8.40987685e+01  1.87081182e+03 -2.00903284e+02 -2.00903284e+02 -2.00903284e+02
  1.90000000e-01  4.35555051e+01 -8.84663682e+01  1.86909088e+03 -2.11421246e+02 -2.11421246e+02 -2.11421246e+02
  2.00000000e-01  4.13371781e+01 -9.27851919e+01  1.86727993e+03 -2.21832701e+02 -2.21832701e+02 -2.21832701e+02
  2.10000000e-01  3.90158575e+01 -9.70528367e+01  1.86537906e+03 -2.32132053e+02 -2.32132053e+02 -2.32132053e+02
  2.20000000e-01  3.65927199e+01 -1.01266925e+02  1.86338837e+03 -2.42313766e+02 -2.42313766e+02 -2.42313766e+02
  2.30000000e-01  3.40689963e+01 -1.05425108e+02  1.86130793e+03 -2.52372361e+02 -2.52372361e+02 -2.52372361e+02
  2.40000000e-01  3.14459721e+01 -1.09525063e+02  1.85913787e+03 -2.62302422e+02 -2.62302422e+02 -2.62302422e+02
  2.50000000e-01  2.87249861e+01 -1.13564497e+02  1.85687828e+03 -2.72098597e+02 -2.72098597e+02 -2.72098597e+02
  2.60000000e-01  2.59074301e+01 -1.17541150e+02  1.85452926e+03 -2.81755602e+02 -2.81755602e+02 -2.81755602e+02
  2.70000000e-01  2.29947478e+01 -1.21452792e+02  1.85209094e+03 -2.91268226e+02 -2.91268226e+02 -2.91268226e+02
  2.80000000e-01  1.99884345e+01 -1.25297227e+02  1.84956343e+03 -3.00631330e+02 -3.00631330e+02 -3.00631330e+02
  2.90000000e-01  1.68900360e+01 -1.29072292e+02  1.84694685e+03 -3.09839849e+02 -3.09839849e+02 -3.09839849e+02
  3.00000000e-01  1.37011480e+01 -1.32775862e+02  1.84424134e+03 -3.18888801e+02 -3.18888801e+02 -3.18888801e+02
  3.10000000e-01  1.04234152e+01 -1.36405846e+02  1.84144700e+03 -3.27773285e+02 -3.27773285e+02 -3.27773285e+02
  3.20000000e-01  7.05853034e+00 -1.39960194e+02  1.83856400e+03 -3.36488481e+02 -3.36488481e+02 -3.36488481e+02
  3.30000000e-01  3.60823374e+00 -1.43436891e+02  1.83559245e+03 -3.45029660e+02 -3.45029660e+02 -3.45029660e+02
  3.40000000e-01  7.43119222e-02 -1.46833966e+02  1.83253251e+03 -3.53392182e+02 -3.53392182e+02 -3.53392182e+02
  3.50000000e-01 -3.54140303e+00 -1.50149487e+02  1.82938432e+03 -3.61571496e+02 -3.61571496e+02 -3.61571496e+02
