             z_1            v_z1             z_2            v_z2
  2.09065494e+03  2.47231307e+02 -6.51657738e+02 -3.22673148e+02
  2.11241463e+03  1.38524662e+02 -5.98297893e+02 -3.43356099e+02
  2.12400583e+03  1.88224632e+01 -5.42058036e+02 -3.47113567e+02
  2.12537277e+03 -1.05495441e+02 -4.83208888e+02 -3.33707959e+02
  2.11650885e+03 -2.27805044e+02 -4.22033729e+02 -3.03808001e+02
  2.09745674e+03 -3.41588031e+02 -3.58827036e+02 -2.58953423e+02
  2.06830815e+03 -4.40776039e+02 -2.93893067e+02 -2.01473641e+02
  2.02920341e+03 -5.20071158e+02 -2.27544392e+02 -1.34364738e+02
  1.98033073e+03 -5.75225736e+02 -1.60100393e+02 -6.11312285e+01
  1.92192539e+03 -6.03266718e+02 -9.18857218e+01  1.43990224e+01
  1.85426852e+03 -6.02652672e+02 -2.32287429e+01  8.82769594e+01
  1.77768580e+03 -5.73355196e+02  4.55400515e+01  1.56640898e+02
  1.69254588e+03 -5.16860425e+02  1.14089631e+02  2.15920470e+02
  1.59925859e+03 -4.36090545e+02  1.82090019e+02  2.63025181e+02
  1.49827300e+03 -3.35249465e+02  2.49213886e+02  2.95507630e+02
  1.39007520e+03 -2.19600799e+02  3.15138117e+02  3.11692756e+02
  1.27518603e+03 -9.51898763e+01  3.79545376e+02  3.10766301e+02
  1.15415853e+03  3.14755284e+01  4.42125626e+02  2.92817804e+02
  1.02757529e+03  1.53768889e+02  5.02577627e+02  2.58835870e+02
  8.96045630e+02  2.65294892e+02  5.60610382e+02  2.10655951e+02
  7.60202700e+02  3.60227193e+02  6.15944541e+02  1.50863402e+02
  6.20700400e+02  4.33616116e+02  6.68313742e+02  8.26569294e+01
  4.78210251e+02  4.81650058e+02  7.17465898e+02  9.67965625e+00
  3.33418152e+02  5.01856782e+02  7.63164406e+02 -6.41732953e+01
  1.87021087e+02  4.93233981e+02  8.05189288e+02 -1.34960523e+02
  3.97237640e+01  4.56302195e+02  8.43338250e+02 -1.98902511e+02
 -1.07764777e+02  3.93077317e+02  8.77427655e+02 -2.52581240e+02
 -2.54734572e+02  3.06964111e+02  9.07293408e+02 -2.93120716e+02
 -4.00478158e+02  2.02576386e+02  9.32791745e+02 -3.18338862e+02
 -5.44293972e+02  8.54933130e+01  9.53799925e+02 -3.26862762e+02
 -6.85489731e+02 -3.80352420e+01  9.70216822e+02 -3.18201178e+02
 -8.23385764e+02 -1.61418804e+02  9.81963410e+02 -2.92770496e+02
 -9.57318286e+02 -2.78074366e+02  9.88983144e+02 -2.51872734e+02
 -1.08664259e+03 -3.81774070e+02  9.91242235e+02 -1.97626782e+02
 -1.21073614e+03 -4.66974126e+02  9.88729807e+02 -1.32856500e+02
 -1.32900161e+03 -5.29107614e+02  9.81457955e+02 -6.09415824e+01
 -1.44086969e+03 -5.64825677e+02  9.69461683e+02  1.43609374e+01
 -1.54580190e+03 -5.72174399e+02  9.52798736e+02  8.91151011e+01
 -1.64329311e+03 -5.50697997e+02  9.31549326e+02  1.59413897e+02
 -1.73287405e+03 -5.01462903e+02  9.05815740e+02  2.21585598e+02
 -1.81411349e+03 -4.27001438e+02  8.75721850e+02  2.72387677e+02
 -1.88662037e+03 -3.31178086e+02  8.41412520e+02  3.09178047e+02
 -1.95004568e+03 -2.18985388e+02  8.03052903e+02  3.30054597e+02
