               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
  4.00000000e-01 -2.01765753e+01 -1.65572226e+02  1.81411894e+03 -3.95220486e+02 -3.95220486e+02 -3.95220486e+02
  4.10000000e-01 -2.41629679e+01 -1.68375143e+02  1.81048825e+03 -4.02022732e+02 -4.02022732e+02 -4.02022732e+02
  4.20000000e-01 -2.82163179e+01 -1.71085320e+02  1.80677038e+03 -4.08611355e+02 -4.08611355e+02 -4.08611355e+02
  4.30000000e-01 -3.23344713e+01 -1.73701235e+02  1.80296549e+03 -4.14982852e+02 -4.14982852e+02 -4.14982852e+02
  4.40000000e-01 -3.65152398e+01 -1.76221417e+02  1.79907379e+03 -4.21133834e+02 -4.21133834e+02 -4.21133834e+02
  4.50000000e-01 -4.07564019e+01 -1.78644445e+02  1.79509544e+03 -4.27061028e+02 -4.27061028e+02 -4.27061028e+02
  4.60000000e-01 -4.50557039e+01 -1.80968951e+02  1.79103066e+03 -4.32761283e+02 -4.32761283e+02 -4.32761283e+02
  4.70000000e-01 -4.94108610e+01 -1.83193619e+02  1.78687962e+03 -4.38231566e+02 -4.38231566e+02 -4.38231566e+02
  4.80000000e-01 -5.38195589e+01 -1.85317184e+02  1.78264254e+03 -4.43468965e+02 -4.43468965e+02 -4.43468965e+02
  4.90000000e-01 -5.82794547e+01 -1.87338437e+02  1.77831961e+03 -4.48470694e+02 -4.48470694e+02 -4.48470694e+02
  5.00000000e-01 -6.27881783e+01 -1.89256223e+02  1.77391104e+03 -4.53234091e+02 -4.53234091e+02 -4.53234091e+02
  5.10000000e-01 -6.73433336e+01 -1.91069440e+02  1.76941705e+03 -4.57756621e+02 -4.57756621e+02 -4.57756621e+02
  5.20000000e-01 -7.19424998e+01 -1.92777043e+02  1.76483786e+03 -4.62035874e+02 -4.62035874e+02 -4.62035874e+02
  5.30000000e-01 -7.65832325e+01 -1.94378044e+02  1.76017367e+03 -4.66069574e+02 -4.66069574e+02 -4.66069574e+02
  5.40000000e-01 -8.12630655e+01 -1.95871509e+02  1.75542472e+03 -4.69855571e+02 -4.69855571e+02 -4.69855571e+02
  5.50000000e-01 -8.59795115e+01 -1.97256563e+02  1.75059124e+03 -4.73391847e+02 -4.73391847e+02 -4.73391847e+02
  5.60000000e-01 -9.07300637e+01 -1.98532388e+02  1.74567346e+03 -4.76676519e+02 -4.76676519e+02 -4.76676519e+02
  5.70000000e-01 -9.55121973e+01 -1.99698224e+02  1.74067161e+03 -4.79707836e+02 -4.79707836e+02 -4.79707836e+02
  5.80000000e-01 -1.00323371e+02 -2.00753369e+02  1.73558594e+03 -4.82484180e+02 -4.82484180e+02 -4.82484180e+02
  5.90000000e-01 -1.05161026e+02 -2.01697179e+02  1.73041669e+03 -4.85004070e+02 -4.85004070e+02 -4.85004070e+02
  6.00000000e-01 -1.10022593e+02 -2.02529072e+02  1.72516411e+03 -4.87266160e+02 -4.87266160e+02 -4.87266160e+02
  6.10000000e-01 -1.14905486e+02 -2.03248522e+02  1.71982845e+03 -4.89269242e+02 -4.89269242e+02 -4.89269242e+02
  6.20000000e-01 -1.19807110e+02 -2.03855064e+02  1.71440998e+03 -4.91012245e+02 -4.91012245e+02 -4.91012245e+02
  6.30000000e-01 -1.24724861e+02 -2.04348294e+02  1.70890894e+03 -4.92494235e+02 -4.92494235e+02 -4.92494235e+02
  6.40000000e-01 -1.29656122e+02 -2.04727865e+02  1.70332561e+03 -4.93714417e+02 -4.93714417e+02 -4.93714417e+02
  6.50000000e-01 -1.34598274e+02 -2.04993495e+02  1.69766026e+03 -4.94672136e+02 -4.94672136e+02 -4.94672136e+02
  6.60000000e-01 -1.39548688e+02 -2.05144958e+02  1.69191315e+03 -4.95366874e+02 -4.95366874e+02 -4.95366874e+02
  6.70000000e-01 -1.44504734e+02 -2.05182091e+02  1.68608457e+03 -4.95798254e+02 -4.95798254e+02 -4.95798254e+02
  6.80000000e-01 -1.49463775e+02 -2.05104790e+02  1.68017479e+03 -4.95966039e+02 -4.95966039e+02 -4.95966039e+02
  6.90000000e-01 -1.54423175e+02 -2.04913015e+02  1.67418410e+03 -4.95870132e+02 -4.95870132e+02 -4.95870132e+02
  7.00000000e-01 -1.59380299e+02 -2.04606782e+02  1.66811279e+03 -4.95510573e+02 -4.95510573e+02 -4.95510573e+02
  7.10000000e-01 -1.64332509e+02 -2.04186172e+02  1.66196115e+03 -4.94887546e+02 -4.94887546e+02 -4.94887546e+02
  7.20000000e-01 -1.69277172e+02 -2.03651324e+02  1.65572948e+03 -4.94001372e+02 -4.94001372e+02 -4.94001372e+02
  7.30000000e-01 -1.74211660e+02 -2.03002439e+02  1.64941808e+03 -4.92852512e+02 -4.92852512e+02 -4.92852512e+02
  7.40000000e-01 -1.79133349e+02 -2.02239777e+02  1.64302724e+03 -4.91441567e+02 -4.91441567e+02 -4.91441567e+02
  7.50000000e-01 -1.84039621e+02 -2.01363661e+02  1.63655728e+03 -4.89769278e+02 -4.89769278e+02 -4.89769278e+02
  7.60000000e-01 -1.88927866e+02 -2.00374471e+02  1.63000852e+03 -4.87836522e+02 -4.87836522e+02 -4.87836522e+02
  7.70000000e-01 -1.93795486e+02 -1.99272649e+02  1.62338126e+03 -4.85644316e+02 -4.85644316e+02 -4.85644316e+02
  7.80000000e-01 -1.98639891e+02 -1.98058696e+02  1.61667582e+03 -4.83193814e+02 -4.83193814e+02 -4.83193814e+02
  7.90000000e-01 -2.03458506e+02 -1.96733174e+02  1.60989253e+03 -4.80486307e+02 -4.80486307e+02 -4.80486307e+02
  8.00000000e-01 -2.08248766e+02 -1.95296702e+02  1.60303172e+03 -4.77523224e+02 -4.77523224e+02 -4.77523224e+02
  8.10000000e-01 -2.13008123e+02 -1.93749958e+02  1.59609371e+03 -4.74306126e+02 -4.74306126e+02 -4.74306126e+02
  8.20000000e-01 -2.17734047e+02 -1.92093681e+02  1.58907884e+03 -4.70836713e+02 -4.70836713e+02 -4.70836713e+02
  8.30000000e-01 -2.22424023e+02 -1.90328666e+02  1.58198744e+03 -4.67116816e+02 -4.67116816e+02 -4.67116816e+02
  8.40000000e-01 -2.27075555e+02 -1.88455766e+02  1.57481987e+03 -4.63148399e+02 -4.63148399e+02 -4.63148399e+02
  8.50000000e-01 -2.31686169e+02 -1.86475891e+02  1.56757645e+03 -4.58933560e+02 -4.58933560e+02 -4.58933560e+02
  8.60000000e-01 -2.36253412e+02 -1.84390008e+02  1.56025755e+03 -4.54474524e+02 -4.54474524e+02 -4.54474524e+02
  8.70000000e-01 -2.40774854e+02 -1.82199142e+02  1.55286351e+03 -4.49773650e+02 -4.49773650e+02 -4.49773650e+02
  8.80000000e-01 -2.45248087e+02 -1.79904370e+02  1.54539470e+03 -4.44833421e+02 -4.44833421e+02 -4.44833421e+02
  8.90000000e-01 -2.49670733e+02 -1.77506827e+02  1.53785146e+03 -4.39656450e+02 -4.39656450e+02 -4.39656450e+02
  9.00000000e-01 -2.54040436e+02 -1.75007702e+02  1.53023417e+03 -4.34245475e+02 -4.34245475e+02 -4.34245475e+02
  9.10000000e-01 -2.58354872e+02 -1.72408237e+02  1.52254318e+03 -4.28603357e+02 -4.28603357e+02 -4.28603357e+02
  9.20000000e-01 -2.62611743e+02 -1.69709729e+02  1.51477888e+03 -4.22733081e+02 -4.22733081e+02 -4.22733081e+02
  9.30000000e-01 -2.66808783e+02 -1.66913525e+02  1.50694163e+03 -4.16637751e+02 -4.16637751e+02 -4.16637751e+02
  9.40000000e-01 -2.70943758e+02 -1.64021027e+02  1.49903182e+03 -4.10320594e+02 -4.10320594e+02 -4.10320594e+02
  9.50000000e-01 -2.75014467e+02 -1.61033685e+02  1.49104981e+03 -4.03784950e+02 -4.03784950e+02 -4.03784950e+02
  9.60000000e-01 -2.79018741e+02 -1.57953000e+02  1.48299601e+03 -3.97034279e+02 -3.97034279e+02 -3.97034279e+02
  9.70000000e-01 -2.82954447e+02 -1.54780525e+02  1.47487079e+03 -3.90072154e+02 -3.90072154e+02 -3.90072154e+02
  9.80000000e-01 -2.86819491e+02 -1.51517859e+02  1.46667454e+03 -3.82902257e+02 -3.82902257e+02 -3.82902257e+02
  9.90000000e-01 -2.90611813e+02 -1.48166650e+02  1.45840767e+03 -3.75528385e+02 -3.75528385e+02 -3.75528385e+02
  1.00000000e+00 -2.94329392e+02 -1.44728592e+02  1.45007056e+03 -3.67954440e+02 -3.67954440e+02 -3.67954440e+02
  1.01000000e+00 -2.97970248e+02 -1.41205427e+02  1.44166363e+03 -3.60184432e+02 -3.60184432e+02 -3.60184432e+02
  1.02000000e+00 -3.01532441e+02 -1.37598939e+02  1.43318727e+03 -3.52222474e+02 -3.52222474e+02 -3.52222474e+02
