               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e-01  5.92968368e+01 -4.76928516e+01  1.88178386e+03 -1.13316173e+02 -1.13316173e+02 -1.13316173e+02
  2.00000000e-01  4.25249471e+01 -9.27836612e+01  1.86818548e+03 -2.20638772e+02 -2.20638772e+02 -2.20638772e+02
  3.00000000e-01  1.55593967e+01 -1.32807926e+02  1.84559427e+03 -3.16291014e+02 -3.16291014e+02 -3.16291014e+02
  4.00000000e-01 -2.01734698e+01 -1.65568751e+02  1.81411896e+03 -3.95212483e+02 -3.95212483e+02 -3.95212483e+02
  5.00000000e-01 -6.27834073e+01 -1.89252880e+02  1.77391108e+03 -4.53226392e+02 -4.53226392e+02 -4.53226392e+02
  6.00000000e-01 -1.10016103e+02 -2.02526474e+02  1.72516416e+03 -4.87260176e+02 -4.87260176e+02 -4.87260176e+02
  7.00000000e-01 -1.59372235e+02 -2.04605560e+02  1.66811287e+03 -4.95507757e+02 -4.95507757e+02 -4.95507757e+02
  8.00000000e-01 -2.08239475e+02 -1.95297445e+02  1.60303182e+03 -4.77524936e+02 -4.77524936e+02 -4.77524936e+02
  9.00000000e-01 -2.54030451e+02 -1.75010902e+02  1.53023429e+03 -4.34252846e+02 -4.34252846e+02 -4.34252846e+02
  1.00000000e+00 -2.94319402e+02 -1.44734587e+02  1.45007071e+03 -3.67968248e+02 -3.67968248e+02 -3.67968248e+02
  1.10000000e+00 -3.26970288e+02 -1.05984833e+02  1.36292697e+03 -2.82163284e+02 -2.82163284e+02 -2.82163284e+02
  1.20000000e+00 -3.50249607e+02 -6.07255743e+01  1.26922253e+03 -1.81361041e+02 -1.81361041e+02 -1.81361041e+02
  1.30000000e+00 -3.62917941e+02 -1.12646330e+01  1.16940847e+03 -7.08766694e+01 -7.08766694e+01 -7.08766694e+01
  1.40000000e+00 -3.64295423e+02  3.98681587e+01  1.06396526e+03  4.34633283e+01  4.34633283e+01  4.34633283e+01
  1.50000000e+00 -3.54297636e+02  9.00545593e+01  9.53400461e+02  1.55628821e+02  1.55628821e+02  1.55628821e+02
  1.60000000e+00 -3.33440076e+02  1.36726188e+02  8.38246304e+02  2.59704519e+02  2.59704519e+02  2.59704519e+02
  1.70000000e+00 -3.02810924e+02  1.77500164e+02  7.19057102e+02  3.50202385e+02  3.50202385e+02  3.50202385e+02
  1.80000000e+00 -2.64013578e+02  2.10304940e+02  5.96406593e+02  4.22351472e+02  4.22351472e+02  4.22351472e+02
  1.90000000e+00 -2.19081970e+02  2.33489706e+02  4.70885176e+02  4.72349897e+02  4.72349897e+02  4.72349897e+02
  2.00000000e+00 -1.70373147e+02  2.45911562e+02  3.43097071e+02  4.97565627e+02  4.97565627e+02  4.97565627e+02
  2.10000000e+00 -1.20442790e+02  2.46995867e+02  2.13657408e+02  4.96675481e+02  4.96675481e+02  4.96675481e+02
  2.20000000e+00 -7.19102374e+01  2.36766579e+02  8.31892673e+01  4.69735016e+02  4.69735016e+02  4.69735016e+02
  2.30000000e+00 -2.73201521e+01  2.15844983e+02 -4.76793189e+01  4.18175580e+02  4.18175580e+02  4.18175580e+02
  2.40000000e+00  1.09918716e+01  1.85416862e+02 -1.78318392e+02  3.44728720e+02  3.44728720e+02  3.44728720e+02
  2.50000000e+00  4.10226554e+01  1.47169869e+02 -3.08099098e+02  2.53281913e+02  2.53281913e+02  2.53281913e+02
