               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e+00 -2.53575642e+02 -4.18377817e+01  1.45036063e+03 -1.30969494e+02 -1.30969494e+02 -1.30969494e+02
  2.00000000e+00 -1.13208671e+02  8.65658255e+01  3.46738253e+02  1.30550067e+02  1.30550067e+02  1.30550067e+02
  3.00000000e+00 -1.45211367e+02  1.08530680e+01 -9.15044842e+02 -7.73131109e+01 -7.73131109e+01 -7.73131109e+01
  4.00000000e+00 -1.46521743e+02  7.88336226e+01 -1.75335595e+03  4.69047063e+01  4.69047063e+01  4.69047063e+01
  5.00000000e+00 -1.21833654e+02  6.91764365e+01 -1.78253687e+03 -6.22747085e+00 -6.22747085e+00 -6.22747085e+00
  6.00000000e+00 -1.28006385e+02  8.90982722e+01 -9.90321109e+02  1.05763467e+01  1.05763467e+01  1.05763467e+01
  7.00000000e+00 -1.09241145e+02  1.02078572e+02  2.57058250e+02  1.35171212e+01  1.35171212e+01  1.35171212e+01
  8.00000000e+00 -1.02171965e+02  1.10528454e+02  1.38417250e+03  8.44261614e+00  8.44261614e+00  8.44261614e+00
  9.00000000e+00 -8.87135063e+01  1.22849242e+02  1.87184727e+03  1.49712174e+01  1.49712174e+01  1.49712174e+01
  1.00000000e+01 -7.54625390e+01  1.29985117e+02  1.49630474e+03  1.24835275e+01  1.24835275e+01  1.24835275e+01
  1.10000000e+01 -6.18486644e+01  1.37859978e+02  4.31845012e+02  1.48304742e+01  1.48304742e+01  1.48304742e+01
  1.20000000e+01 -4.67624990e+01  1.43316950e+02 -8.30047858e+02  1.49133464e+01  1.49133464e+01  1.49133464e+01
  1.30000000e+01 -3.17917136e+01  1.47434482e+02 -1.70763334e+03  1.53524257e+01  1.53524257e+01  1.53524257e+01
  1.40000000e+01 -1.61133176e+01  1.50001122e+02 -1.79709936e+03  1.57594353e+01  1.57594353e+01  1.57594353e+01
  1.50000000e+01 -4.16283673e-01  1.50805578e+02 -1.05837075e+03  1.57078141e+01  1.57078141e+01  1.57078141e+01
  1.60000000e+01  1.53275843e+01  1.50065149e+02  1.66955214e+02  1.57188558e+01  1.57188558e+01  1.57188558e+01
  1.70000000e+01  3.09109291e+01  1.47626184e+02  1.31356574e+03  1.54199168e+01  1.54199168e+01  1.54199168e+01
  1.80000000e+01  4.61374738e+01  1.43602385e+02  1.85324242e+03  1.50148148e+01  1.50148148e+01  1.50148148e+01
  1.90000000e+01  6.08767393e+01  1.38002873e+02  1.53819871e+03  1.44277894e+01  1.44277894e+01  1.44277894e+01
  2.00000000e+01  7.49413440e+01  1.30895948e+02  5.14845784e+02  1.36817486e+01  1.36817486e+01  1.36817486e+01
  2.10000000e+01  8.81923305e+01  1.22362827e+02 -7.44245146e+02  1.27931749e+01  1.27931749e+01  1.27931749e+01
  2.20000000e+01  1.00478977e+02  1.12491043e+02 -1.65856879e+03  1.17587951e+01  1.17587951e+01  1.17587951e+01
  2.30000000e+01  1.11668529e+02  1.01392696e+02 -1.80732730e+03  1.05998425e+01  1.05998425e+01  1.05998425e+01
  2.40000000e+01  1.21639297e+02  8.91865188e+01 -1.12309194e+03  9.32334286e+00  9.32334286e+00  9.32334286e+00
  2.50000000e+01  1.30281534e+02  7.60068267e+01  7.76423279e+01  7.94563877e+00  7.94563877e+00  7.94563877e+00
  2.60000000e+01  1.37501582e+02  6.19972550e+01  1.24085043e+03  6.48116065e+00  6.48116065e+00  6.48116065e+00
  2.70000000e+01  1.43220202e+02  4.73107056e+01  1.83060612e+03  4.94576038e+00  4.94576038e+00  4.94576038e+00
  2.80000000e+01  1.47375137e+02  3.21076693e+01  1.57599874e+03  3.35651877e+00  3.35651877e+00  3.35651877e+00
  2.90000000e+01  1.49920971e+02  1.65540246e+01  5.95576614e+02  1.73052531e+00  1.73052531e+00  1.73052531e+00
  3.00000000e+01  1.50829902e+02  8.19659780e-01 -6.57845102e+02  8.56896023e-02  8.56896023e-02  8.56896023e-02
  3.10000000e+01  1.50092027e+02 -1.49236622e+01 -1.60631906e+03 -1.56010041e+00 -1.56010041e+00 -1.56010041e+00
  3.20000000e+01  1.47715384e+02 -3.05040409e+01 -1.81325364e+03 -3.18885439e+00 -3.18885439e+00 -3.18885439e+00
  3.30000000e+01  1.43725933e+02 -4.57513632e+01 -1.18437881e+03 -4.78278774e+00 -4.78278774e+00 -4.78278774e+00
  3.40000000e+01  1.38167227e+02 -6.04991566e+01 -1.06847344e+01 -6.32450484e+00 -6.32450484e+00 -6.32450484e+00
  3.50000000e+01  1.31099960e+02 -7.45863962e+01  1.16622178e+03 -7.79716580e+00 -7.79716580e+00 -7.79716580e+00
  3.60000000e+01  1.22601296e+02 -8.78592740e+01  1.80404317e+03 -9.18469585e+00 -9.18469585e+00 -9.18469585e+00
  3.70000000e+01  1.12764024e+02 -1.00172871e+02  1.60967105e+03 -1.04719434e+01 -1.04719434e+01 -1.04719434e+01
  3.80000000e+01  1.01695554e+02 -1.11392743e+02  6.73880922e+02 -1.16448544e+01 -1.16448544e+01 -1.16448544e+01
  3.90000000e+01  8.95167331e+01 -1.21396388e+02 -5.71054779e+02 -1.26906226e+01 -1.26906226e+01 -1.26906226e+01
  4.00000000e+01  7.63605358e+01 -1.30074581e+02 -1.55104618e+03 -1.35978297e+01 -1.35978297e+01 -1.35978297e+01
  4.10000000e+01  6.23706059e+01 -1.37332571e+02 -1.81492080e+03 -1.43565707e+01 -1.43565707e+01 -1.43565707e+01
  4.20000000e+01  4.76996908e+01 -1.43091113e+02 -1.24213482e+03 -1.49585613e+01 -1.49585613e+01 -1.49585613e+01
  4.30000000e+01  3.25079729e+01 -1.47287333e+02 -9.78351234e+01 -1.53972288e+01 -1.53972288e+01 -1.53972288e+01
  4.40000000e+01  1.69613211e+01 -1.49875415e+02  1.08987686e+03 -1.56677835e+01 -1.56677835e+01 -1.56677835e+01
  4.50000000e+01  1.22947961e+00 -1.50827101e+02  1.77366604e+03 -1.57672715e+01 -1.57672715e+01 -1.57672715e+01
  4.60000000e+01 -1.45157855e+01 -1.50132000e+02  1.63919183e+03 -1.56946066e+01 -1.56946066e+01 -1.56946066e+01
  4.70000000e+01 -3.01025617e+01 -1.47797703e+02  7.49609763e+02 -1.54505821e+01 -1.54505821e+01 -1.54505821e+01
  4.80000000e+01 -4.53606665e+01 -1.43849695e+02 -4.84079430e+02 -1.50378625e+01 -1.50378625e+01 -1.50378625e+01
  4.90000000e+01 -6.01235064e+01 -1.38331082e+02 -1.49291706e+03 -1.44609538e+01 -1.44609538e+01 -1.44609538e+01
  5.00000000e+01 -7.42298952e+01 -1.31302120e+02 -1.81238049e+03 -1.37261550e+01 -1.37261550e+01 -1.37261550e+01
  5.10000000e+01 -8.75258140e+01 -1.22839551e+02 -1.29627282e+03 -1.28414890e+01 -1.28414890e+01 -1.28414890e+01
  5.20000000e+01 -9.98660932e+01 -1.13035775e+02 -1.83623193e+02 -1.18166149e+01 -1.18166149e+01 -1.18166149e+01
  5.30000000e+01 -1.11115997e+02 -1.01997833e+02  1.01201412e+03 -1.06627225e+01 -1.06627225e+01 -1.06627225e+01
  5.40000000e+01 -1.21152694e+02 -8.98462403e+01  1.73959454e+03 -9.39241065e+00 -9.39241065e+00 -9.39241065e+00
  5.50000000e+01 -1.29866602e+02 -7.67136731e+01  1.66454713e+03 -8.01954893e+00 -8.01954893e+00 -8.01954893e+00
  5.60000000e+01 -1.37162577e+02 -6.27435177e+01  8.22622076e+02 -6.55912681e+00 -6.55912681e+00 -6.55912681e+00
  5.70000000e+01 -1.42960959e+02 -4.80883054e+01 -3.97122058e+02 -5.02708973e+00 -5.02708973e+00 -5.02708973e+00
  5.80000000e+01 -1.47198441e+02 -3.29080474e+01 -1.43210302e+03 -3.44016503e+00 -3.44016503e+00 -3.44016503e+00
  5.90000000e+01 -1.49828755e+02 -1.73684873e+01 -1.80569346e+03 -1.81567936e+00 -1.81567936e+00 -1.81567936e+00
  6.00000000e+01 -1.50823183e+02 -1.63929180e+00 -1.34671513e+03 -1.71369460e-01 -1.71369460e-01 -1.71369460e-01
  6.10000000e+01 -1.50170867e+02  1.41078018e+01 -2.67868859e+02  1.47481149e+00  1.47481149e+00  1.47481149e+00
  6.20000000e+01 -1.47878930e+02  2.97008608e+01  9.32832944e+02  3.10488987e+00  3.10488987e+00  3.10488987e+00
  6.30000000e+01 -1.43972395e+02  4.49696345e+01  1.70195543e+03  4.70106787e+00  4.70106787e+00  4.70106787e+00
  6.40000000e+01 -1.38493916e+02  5.97474127e+01  1.68573282e+03  6.24591784e+00  6.24591784e+00  6.24591784e+00
  6.50000000e+01 -1.31503309e+02  7.38728461e+01  8.92784906e+02  7.72257251e+00  7.72257251e+00  7.72257251e+00
  6.60000000e+01 -1.23076900e+02  8.71917080e+01 -3.10382977e+02  9.11490924e+00  9.11490924e+00  9.11490924e+00
  6.70000000e+01 -1.13306692e+02  9.95585780e+01 -1.36877933e+03  1.04077260e+01  1.04077260e+01  1.04077260e+01
  6.80000000e+01 -1.02299359e+02  1.10838430e+02 -1.79492920e+03  1.15869072e+01  1.15869072e+01  1.15869072e+01
  6.90000000e+01 -9.01750841e+01  1.20908107e+02 -1.39339363e+03  1.26395783e+01  1.26395783e+01  1.26395783e+01
  7.00000000e+01 -7.70662440e+01  1.29657664e+02 -3.50397946e+02  1.35542457e+01  1.35542457e+01  1.35542457e+01
  7.10000000e+01 -6.31159662e+01  1.36991569e+02  8.52533133e+02  1.43209228e+01  1.43209228e+01  1.43209228e+01
  7.20000000e+01 -4.84765650e+01  1.42829750e+02  1.66088205e+03  1.49312388e+01  1.49312388e+01  1.49312388e+01
  7.30000000e+01 -3.33078788e+01  1.47108462e+02  1.70275440e+03  1.53785298e+01  1.53785298e+01  1.53785298e+01
  7.40000000e+01 -1.77755250e+01  1.49780989e+02  9.59973603e+02  1.56579124e+01  1.56579124e+01  1.56579124e+01
  7.50000000e+01 -2.04909178e+00  1.50818152e+02 -2.24059385e+02  1.57663360e+01  1.57663360e+01  1.57663360e+01
  7.60000000e+01  1.36997140e+01  1.50208625e+02 -1.30312476e+03  1.57026169e+01  1.57026169e+01  1.57026169e+01
  7.70000000e+01  2.92989408e+01  1.47959065e+02 -1.78016573e+03  1.54674507e+01  1.54674507e+01  1.54674507e+01
  7.80000000e+01  4.45782706e+01  1.44094032e+02 -1.43624975e+03  1.50634052e+01  1.50634052e+01  1.50634052e+01
  7.90000000e+01  5.93708780e+01  1.38655728e+02 -4.31042506e+02  1.44948918e+01  1.44948918e+01  1.44948918e+01
  8.00000000e+01  7.35152517e+01  1.31703528e+02  7.71314474e+02  1.37681178e+01  1.37681178e+01  1.37681178e+01
  8.10000000e+01  8.68569583e+01  1.23313341e+02  1.61651391e+03  1.28910183e+01  1.28910183e+01  1.28910183e+01
  8.20000000e+01  9.92503279e+01  1.13576772e+02  1.71562695e+03  1.18731700e+01  1.18731700e+01  1.18731700e+01
  8.30000000e+01  1.10560045e+02  1.02600130e+02  1.02407200e+03  1.07256859e+01  1.07256859e+01  1.07256859e+01
  8.40000000e+01  1.20662627e+02  9.05032621e+01 -1.38344950e+02  9.46109486e+00  9.46109486e+00  9.46109486e+00
  8.50000000e+01  1.29447768e+02  7.74182459e+01 -1.23532114e+03  8.09320406e+00  8.09320406e+00  8.09320406e+00
