             x_1             y_1             x_2             y_2
 -1.99968885e+02 -1.41071809e+03 -4.72576187e+02 -6.30215872e+02
 -2.06565177e+02 -1.41149460e+03 -4.73155185e+02 -6.26615833e+02
 -2.13183634e+02 -1.41214600e+03 -4.73658915e+02 -6.23017846e+02
 -2.19821399e+02 -1.41267181e+03 -4.74087458e+02 -6.19423638e+02
 -2.26475600e+02 -1.41307160e+03 -4.74440938e+02 -6.15834929e+02
 -2.33143359e+02 -1.41334503e+03 -4.74719516e+02 -6.12253439e+02
 -2.39821792e+02 -1.41349180e+03 -4.74923393e+02 -6.08680883e+02
 -2.46508006e+02 -1.41351171e+03 -4.75052809e+02 -6.05118971e+02
 -2.53199106e+02 -1.41340460e+03 -4.75108045e+02 -6.01569407e+02
 -2.59892194e+02 -1.41317037e+03 -4.75089419e+02 -5.98033888e+02
 -2.66584369e+02 -1.41280903e+03 -4.74997291e+02 -5.94514102e+02
 -2.73272732e+02 -1.41232060e+03 -4.74832055e+02 -5.91011730e+02
 -2.79954386e+02 -1.41170522e+03 -4.74594149e+02 -5.87528443e+02
 -2.86626436e+02 -1.41096305e+03 -4.74284046e+02 -5.84065901e+02
 -2.93285995e+02 -1.41009436e+03 -4.73902257e+02 -5.80625753e+02
 -2.99930178e+02 -1.40909944e+03 -4.73449333e+02 -5.77209635e+02
 -3.06556111e+02 -1.40797869e+03 -4.72925861e+02 -5.73819172e+02
 -3.13160930e+02 -1.40673254e+03 -4.72332465e+02 -5.70455973e+02
 -3.19741780e+02 -1.40536152e+03 -4.71669806e+02 -5.67121632e+02
 -3.26295819e+02 -1.40386620e+03 -4.70938583e+02 -5.63817729e+02
 -3.32820220e+02 -1.40224723e+03 -4.70139530e+02 -5.60545826e+02
 -3.39312172e+02 -1.40050531e+03 -4.69273417e+02 -5.57307468e+02
 -3.45768879e+02 -1.39864121e+03 -4.68341049e+02 -5.54104183e+02
 -3.52187565e+02 -1.39665578e+03 -4.67343265e+02 -5.50937479e+02
 -3.58565473e+02 -1.39454992e+03 -4.66280942e+02 -5.47808844e+02
 -3.64899870e+02 -1.39232458e+03 -4.65154987e+02 -5.44719746e+02
 -3.71188043e+02 -1.38998080e+03 -4.63966343e+02 -5.41671630e+02
