             x_1             y_1             x_2             y_2
  6.49879533e+01 -1.09611891e+03 -2.48947846e+02 -7.95146244e+02
  6.92885499e+01 -1.14634704e+03 -2.88120316e+02 -7.95341890e+02
  6.13226842e+01 -1.19890614e+03 -3.27126333e+02 -7.88004425e+02
  4.08541687e+01 -1.25092693e+03 -3.64265253e+02 -7.73362192e+02
  8.30818895e+00 -1.29956171e+03 -3.97933408e+02 -7.52025566e+02
 -3.52510973e+01 -1.34213477e+03 -4.26708746e+02 -7.24954729e+02
 -8.81766990e+01 -1.37628376e+03 -4.49425892e+02 -6.93408979e+02
 -1.48325706e+02 -1.40008438e+03 -4.65237653e+02 -6.58880240e+02
 -2.13172382e+02 -1.41215212e+03 -4.73659731e+02 -6.23014283e+02
 -2.79941464e+02 -1.41171532e+03 -4.74596297e+02 -5.87523816e+02
 -3.45754558e+02 -1.39865603e+03 -4.68345103e+02 -5.54098028e+02
 -4.07781647e+02 -1.37351627e+03 -4.55582172e+02 -5.24313315e+02
 -4.63384892e+02 -1.33747010e+03 -4.37331640e+02 -4.99549418e+02
 -5.10297759e+02 -1.29226031e+03 -4.14871749e+02 -4.80917883e+02
 -5.46693796e+02 -1.24009875e+03 -3.89718154e+02 -4.69210972e+02
 -5.71265972e+02 -1.18356273e+03 -3.63560895e+02 -4.64846725e+02
 -5.83353074e+02 -1.12545619e+03 -3.38117658e+02 -4.67849568e+02
 -5.82952419e+02 -1.06865957e+03 -3.15065161e+02 -4.77851150e+02
 -5.70719106e+02 -1.01597754e+03 -2.95951383e+02 -4.94109959e+02
 -5.47931191e+02 -9.69990870e+02 -2.82113930e+02 -5.15550541e+02
 -5.16422083e+02 -9.32920155e+02 -2.74609391e+02 -5.40820342e+02
 -4.78483650e+02 -9.06508521e+02 -2.74157494e+02 -5.68361172e+02
 -4.36745147e+02 -8.91929591e+02 -2.81103018e+02 -5.96491547e+02
 -3.94034440e+02 -8.89725479e+02 -2.95397403e+02 -6.23495550e+02
 -3.53229280e+02 -8.99778055e+02 -3.16600577e+02 -6.47713622e+02
 -3.17115096e+02 -9.21314113e+02 -3.43894330e+02 -6.67631328e+02
 -2.88189005e+02 -9.52946807e+02 -3.76174297e+02 -6.81958794e+02
 -2.68576649e+02 -9.92758739e+02 -4.12059472e+02 -6.89689038e+02
 -2.59947443e+02 -1.03838997e+03 -4.49937529e+02 -6.90164465e+02
 -2.63366503e+02 -1.08716462e+03 -4.88109780e+02 -6.83109694e+02
 -2.79258541e+02 -1.13623423e+03 -5.24860647e+02 -6.68644111e+02
 -3.07386320e+02 -1.18272840e+03 -5.58547281e+02 -6.47275422e+02
 -3.46863302e+02 -1.22390646e+03 -5.87686112e+02 -6.19872817e+02
 -3.96200457e+02 -1.25730228e+03 -6.11031121e+02 -5.87621076e+02
 -4.53384832e+02 -1.28085456e+03 -6.27639619e+02 -5.51958007e+02
 -5.15985717e+02 -1.29301573e+03 -6.36922082e+02 -5.14498511e+02
 -5.81282599e+02 -1.29283382e+03 -6.38673617e+02 -4.76949252e+02
 -6.46405449e+02 -1.28000317e+03 -6.33088077e+02 -4.41018129e+02
 -7.08593243e+02 -1.25487314e+03 -6.20640783e+02 -4.08331563e+02
 -7.65145344e+02 -1.21841178e+03 -6.02257772e+02 -3.80366564e+02
 -8.13550964e+02 -1.17220192e+03 -5.79279951e+02 -3.58325589e+02
 -8.51820742e+02 -1.11834345e+03 -5.53193222e+02 -3.43087180e+02
 -8.78498501e+02 -1.05933452e+03 -5.25643216e+02 -3.35167549e+02
 -8.92736918e+02 -9.97939498e+02 -4.98349528e+02 -3.34693523e+02
 -8.94342023e+02 -9.37042914e+02 -4.73015054e+02 -3.41395919e+02
 -8.83783331e+02 -8.79497192e+02 -4.51236082e+02 -3.54623801e+02
 -8.62168967e+02 -8.27972013e+02 -4.34417970e+02 -3.73378906e+02
 -8.31187072e+02 -7.84813366e+02 -4.23700903e+02 -3.96368390e+02
 -7.93016594e+02 -7.51919687e+02 -4.19899646e+02 -4.22073149e+02
 -7.50212151e+02 -7.30641647e+02 -4.23460479e+02 -4.48828075e+02
 -7.05569072e+02 -7.21710854e+02 -4.34437583e+02 -4.74910030e+02
 -6.61975736e+02 -7.25201244e+02 -4.52490126e+02 -4.98628906e+02
 -6.22261038e+02 -7.40525176e+02 -4.76900164e+02 -5.18416964e+02
 -5.89045151e+02 -7.66464413e+02 -5.06610311e+02 -5.32911767e+02
 -5.64602280e+02 -8.01234277e+02 -5.40278370e+02 -5.41028398e+02
 -5.50765106e+02 -8.42575517e+02 -5.76323578e+02 -5.42019227e+02
 -5.48744362e+02 -8.87872265e+02 -6.13093655e+02 -5.35514842e+02
 -5.59117832e+02 -9.34308332e+02 -6.48899040e+02 -5.21525502e+02
 -5.81861834e+02 -9.78999329e+02 -6.82040051e+02 -5.00457283e+02
 -6.16272946e+02 -1.01914538e+03 -7.10976098e+02 -4.73090338e+02
 -6.61024696e+02 -1.05218125e+03 -7.34387428e+02 -4.40535542e+02
 -7.14238099e+02 -1.07591225e+03 -7.51244278e+02 -4.04175442e+02
 -7.73573358e+02 -1.08863126e+03 -7.60868711e+02 -3.65590237e+02
 -8.36483379e+02 -1.08920124e+03 -7.62840414e+02 -3.26482061e+02
 -9.00132862e+02 -1.07709266e+03 -7.57234244e+02 -2.88607775e+02
 -9.61520481e+02 -1.05246448e+03 -7.44643771e+02 -2.53633262e+02
 -1.01786263e+03 -1.01614119e+03 -7.25924616e+02 -2.23060121e+02
 -1.06663937e+03 -9.69560469e+02 -7.02250275e+02 -1.98155195e+02
 -1.10572564e+03 -9.14697102e+02 -6.75051896e+02 -1.79883956e+02
 -1.13350326e+03 -8.53958654e+02 -6.45942944e+02 -1.68859616e+02
 -1.14894616e+03 -7.90058355e+02 -6.16634044e+02 -1.65310796e+02
 -1.15167457e+03 -7.25871850e+02 -5.88842646e+02 -1.69069499e+02
 -1.14197502e+03 -6.64285378e+02 -5.64202307e+02 -1.79580028e+02
 -1.12078508e+03 -6.08043396e+02 -5.44176408e+02 -1.95928368e+02
 -1.08964390e+03 -5.59603688e+02 -5.29980840e+02 -2.16890499e+02
 -1.05061079e+03 -5.21007635e+02 -5.22519776e+02 -2.40997069e+02
 -1.00615648e+03 -4.93772469e+02 -5.22337888e+02 -2.66611022e+02
 -9.59032585e+02 -4.78811222e+02 -5.29591549e+02 -2.92014073e+02
 -9.12126244e+02 -4.76384585e+02 -5.44040538e+02 -3.15497485e+02
 -8.68307647e+02 -4.86087157e+02 -5.65060683e+02 -3.35452385e+02
 -8.30278414e+02 -5.06868789e+02 -5.91676793e+02 -3.50454909e+02
 -8.00428876e+02 -5.37089929e+02 -6.22614141e+02 -3.59341619e+02
 -7.80711833e+02 -5.74608219e+02 -6.56365736e+02 -3.61271037e+02
 -7.72539601e+02 -6.16891768e+02 -6.91271676e+02 -3.55768067e+02
 -7.76710176e+02 -6.61152890e+02 -7.25606007e+02 -3.42749161e+02
 -7.93367226e+02 -7.04494922e+02 -7.57665689e+02 -3.22527252e+02
 -8.21994486e+02 -7.44064145e+02 -7.85858505e+02 -2.95796384e+02
 -8.61433221e+02 -7.77199982e+02 -8.08796911e+02 -2.63595677e+02
 -9.09933780e+02 -8.01578181e+02 -8.25380901e+02 -2.27251885e+02
 -9.65258421e+02 -8.15336080e+02 -8.34845647e+02 -1.88306910e+02
 -1.02480856e+03 -8.17170362e+02 -8.36792771e+02 -1.48437094e+02
 -1.08575970e+03 -8.06404848e+02 -8.31213660e+02 -1.09365826e+02
 -1.14520846e+03 -7.83025767e+02 -8.18492008e+02 -7.27730721e+01
 -1.20032512e+03 -7.47682369e+02 -7.99384302e+02 -4.02068646e+01
 -1.24850279e+03 -7.01652628e+02 -7.74980103e+02 -1.30016580e+01
 -1.28749498e+03 -6.46775788e+02 -7.46644591e+02  7.79208027e+00
 -1.31553414e+03 -5.85355271e+02 -7.15946491e+02  2.14632933e+01
 -1.33142499e+03 -5.20037089e+02 -6.84575227e+02  2.76778399e+01
 -1.33460760e+03 -4.53670156e+02 -6.54251702e+02  2.64960972e+01
 -1.32518692e+03 -3.89155898e+02 -6.26637401e+02  1.83697306e+01
 -1.30392724e+03 -3.29295085e+02 -6.03246636e+02  4.11780195e+00
 -1.27221173e+03 -2.76639997e+02 -5.85366559e+02 -1.51165164e+01
 -1.23196945e+03 -2.33359727e+02 -5.73989165e+02 -3.79263276e+01
 -1.18557343e+03 -2.01125768e+02 -5.69758872e+02 -6.27152781e+01
 -1.13571535e+03 -1.81024007e+02 -5.72938426e+02 -8.77817083e+01
 -1.08526353e+03 -1.73497976e+02 -5.83394878e+02 -1.11408037e+02
 -1.03711175e+03 -1.78326642e+02 -6.00606268e+02 -1.31950362e+02
 -9.94026971e+02 -1.94636566e+02 -6.23688590e+02 -1.47924920e+02
 -9.58503351e+02 -2.20943011e+02 -6.51442320e+02 -1.58091572e+02
 -9.32629146e+02 -2.55223930e+02 -6.82417111e+02 -1.61523845e+02
 -9.17975118e+02 -2.95031629e+02 -7.14989673e+02 -1.57653104e+02
