             x_1            v_x1             x_2            v_x2
  6.49879533e+01  1.01918556e+02 -2.48947846e+02 -3.86831762e+02
  6.92885499e+01 -1.73770602e+01 -2.88120316e+02 -3.93770764e+02
  6.13226842e+01 -1.42329004e+02 -3.27126333e+02 -3.83515326e+02
  4.08541687e+01 -2.66327728e+02 -3.64265253e+02 -3.56591059e+02
  8.30818895e+00 -3.82813535e+02 -3.97933408e+02 -3.14403310e+02
 -3.52510973e+01 -4.85622913e+02 -4.26708746e+02 -2.59163053e+02
 -8.81766990e+01 -5.69313989e+02 -4.49425892e+02 -1.93770185e+02
 -1.48325706e+02 -6.29453859e+02 -4.65237653e+02 -1.21660446e+02
 -2.13172382e+02 -6.62852597e+02 -4.73659731e+02 -4.66240736e+01
 -2.79941464e+02 -6.67731425e+02 -4.74596297e+02  2.73940712e+01
 -3.45754558e+02 -6.43815613e+02 -4.68345103e+02  9.65017990e+01
 -4.07781647e+02 -5.92343065e+02 -4.55582172e+02  1.57059234e+02
 -4.63384892e+02 -5.15902504e+02 -4.37331640e+02  2.05774612e+02
 -5.10297759e+02 -4.19298366e+02 -4.14871749e+02  2.40879736e+02
 -5.46693796e+02 -3.06489288e+02 -3.89718154e+02  2.59415593e+02
 -5.71265972e+02 -1.83859306e+02 -3.63560895e+02  2.60868897e+02
 -5.83353074e+02 -5.78837943e+01 -3.38117658e+02  2.45202293e+02
 -5.82952419e+02  6.47999398e+01 -3.15065161e+02  2.13268909e+02
 -5.70719106e+02  1.77731533e+02 -2.95951383e+02  1.66778958e+02
 -5.47931191e+02  2.74966991e+02 -2.82113930e+02  1.08211181e+02
 -5.16422083e+02  3.51392107e+02 -2.74609391e+02  4.06824331e+01
 -4.78483650e+02  4.02992256e+02 -2.74157494e+02 -3.22166337e+01
 -4.36745147e+02  4.27063926e+02 -2.81103018e+02 -1.06610714e+02
 -3.94034440e+02  4.22355877e+02 -2.95397403e+02 -1.78542907e+02
 -3.53229280e+02  3.89125943e+02 -3.16600577e+02 -2.44174421e+02
 -3.17115096e+02  3.28954686e+02 -3.43894330e+02 -2.99814593e+02
 -2.88189005e+02  2.46002060e+02 -3.76174297e+02 -3.43455955e+02
 -2.68576649e+02  1.43505056e+02 -4.12059472e+02 -3.71597613e+02
 -2.59947443e+02  2.73110992e+01 -4.49937529e+02 -3.83134500e+02
 -2.63366503e+02 -9.63946064e+01 -4.88109780e+02 -3.77451917e+02
 -2.79258541e+02 -2.21045554e+02 -5.24860647e+02 -3.54828191e+02
 -3.07386320e+02 -3.40027549e+02 -5.58547281e+02 -3.16433165e+02
 -3.46863302e+02 -4.47025950e+02 -5.87686112e+02 -2.64268501e+02
 -3.96200457e+02 -5.36358532e+02 -6.11031121e+02 -2.01062604e+02
 -4.53384832e+02 -6.03275142e+02 -6.27639619e+02 -1.30126969e+02
 -5.15985717e+02 -6.44207578e+02 -6.36922082e+02 -5.51822956e+01
 -5.81282599e+02 -6.56953389e+02 -6.38673617e+02  1.98333742e+01
 -6.46405449e+02 -6.40737854e+02 -6.33088077e+02  9.09182881e+01
 -7.08593243e+02 -5.98505623e+02 -6.20640783e+02  1.56469053e+02
 -7.65145344e+02 -5.28514999e+02 -6.02257772e+02  2.09115111e+02
 -8.13550964e+02 -4.36288148e+02 -5.79279951e+02  2.47966232e+02
 -8.51820742e+02 -3.26685135e+02 -5.53193222e+02  2.71025199e+02
 -8.78498501e+02 -2.05462630e+02 -5.25643216e+02  2.77108674e+02
 -8.92736918e+02 -7.89873900e+01 -4.98349528e+02  2.65927194e+02
 -8.94342023e+02  4.60977951e+01 -4.73015054e+02  2.38102654e+02
 -8.83783331e+02  1.63224423e+02 -4.51236082e+02  1.95135962e+02
 -8.62168967e+02  2.66245013e+02 -4.34417970e+02  1.39327934e+02
 -8.31187072e+02  3.49757697e+02 -4.23700903e+02  7.36578505e+01
 -7.93016594e+02  4.09391446e+02 -4.19899646e+02  1.62616272e+00
 -7.50212151e+02  4.42036858e+02 -4.23460479e+02 -7.29303222e+01
 -7.05569072e+02  4.46010265e+02 -4.34437583e+02 -1.46040984e+02
 -6.61975736e+02  4.21142459e+02 -4.52490126e+02 -2.13810904e+02
