             x_1             y_1             z_1             x_2             y_2             z_2
  6.49879533e+01 -1.09611891e+03  1.88632393e+03 -2.48947846e+02 -7.95146244e+02 -5.46468523e+01
  6.92885499e+01 -1.14634704e+03  1.81377818e+03 -2.88120316e+02 -7.95341890e+02  1.41119086e+01
  6.13226842e+01 -1.19890614e+03  1.73250150e+03 -3.27126333e+02 -7.88004425e+02  8.28027293e+01
  4.08541687e+01 -1.25092693e+03  1.64288513e+03 -3.64265253e+02 -7.73362192e+02  1.51094953e+02
  8.30818895e+00 -1.29956171e+03  1.54536046e+03 -3.97933408e+02 -7.52025566e+02  2.18659840e+02
 -3.52510973e+01 -1.34213477e+03  1.44039695e+03 -4.26708746e+02 -7.24954729e+02  2.85172152e+02
 -8.81766990e+01 -1.37628376e+03  1.32849985e+03 -4.49425892e+02 -6.93408979e+02  3.50311714e+02
 -1.48325706e+02 -1.40008438e+03  1.21020782e+03 -4.65237653e+02 -6.58880240e+02  4.13764959e+02
 -2.13172382e+02 -1.41215212e+03  1.08609029e+03 -4.73659731e+02 -6.23014283e+02  4.75226428e+02
 -2.79941464e+02 -1.41171532e+03  9.56744739e+02 -4.74596297e+02 -5.87523816e+02  5.34400237e+02
 -3.45754558e+02 -1.39865603e+03  8.22793877e+02 -4.68345103e+02 -5.54098028e+02  5.91001473e+02
 -4.07781647e+02 -1.37351627e+03  6.84882772e+02 -4.55582172e+02 -5.24313315e+02  6.44757400e+02
 -4.63384892e+02 -1.33747010e+03  5.43685948e+02 -4.37331640e+02 -4.99549418e+02  6.95398591e+02
 -5.10297759e+02 -1.29226031e+03  3.99882005e+02 -4.14871749e+02 -4.80917883e+02  7.42682349e+02
 -5.46693796e+02 -1.24009875e+03  2.54152260e+02 -3.89718154e+02 -4.69210972e+02  7.86391976e+02
 -5.71265972e+02 -1.18356273e+03  1.07198900e+02 -3.63560895e+02 -4.64846725e+02  8.26316376e+02
 -5.83353074e+02 -1.12545619e+03 -4.02705752e+01 -3.38117658e+02 -4.67849568e+02  8.62263251e+02
 -5.82952419e+02 -1.06865957e+03 -1.87546255e+02 -3.15065161e+02 -4.77851150e+02  8.94059526e+02
 -5.70719106e+02 -1.01597754e+03 -3.33919185e+02 -2.95951383e+02 -4.94109959e+02  9.21552124e+02
 -5.47931191e+02 -9.69990870e+02 -4.78684761e+02 -2.82113930e+02 -5.15550541e+02  9.44608695e+02
 -5.16422083e+02 -9.32920155e+02 -6.21146124e+02 -2.74609391e+02 -5.40820342e+02  9.63118246e+02
 -4.78483650e+02 -9.06508521e+02 -7.60617506e+02 -2.74157494e+02 -5.68361172e+02  9.76991674e+02
 -4.36745147e+02 -8.91929591e+02 -8.96427534e+02 -2.81103018e+02 -5.96491547e+02  9.86162193e+02
 -3.94034440e+02 -8.89725479e+02 -1.02792246e+03 -2.95397403e+02 -6.23495550e+02  9.90585658e+02
 -3.53229280e+02 -8.99778055e+02 -1.15446931e+03 -3.16600577e+02 -6.47713622e+02  9.90240775e+02
 -3.17115096e+02 -9.21314113e+02 -1.27545893e+03 -3.43894330e+02 -6.67631328e+02  9.85129201e+02
 -2.88189005e+02 -9.52946807e+02 -1.39030891e+03 -3.76174297e+02 -6.81958794e+02  9.75275543e+02
 -2.68576649e+02 -9.92758739e+02 -1.49846640e+03 -4.12059472e+02 -6.89689038e+02  9.60727231e+02
 -2.59947443e+02 -1.03838997e+03 -1.59941077e+03 -4.49937529e+02 -6.90164465e+02  9.41554296e+02
 -2.63366503e+02 -1.08716462e+03 -1.69265609e+03 -4.88109780e+02 -6.83109694e+02  9.17849029e+02
 -2.79258541e+02 -1.13623423e+03 -1.77775353e+03 -5.24860647e+02 -6.68644111e+02  8.89725541e+02
 -3.07386320e+02 -1.18272840e+03 -1.85429344e+03 -5.58547281e+02 -6.47275422e+02  8.57319207e+02
 -3.46863302e+02 -1.22390646e+03 -1.92190739e+03 -5.87686112e+02 -6.19872817e+02  8.20786022e+02
 -3.96200457e+02 -1.25730228e+03 -1.98026990e+03 -6.11031121e+02 -5.87621076e+02  7.80301844e+02
 -4.53384832e+02 -1.28085456e+03 -2.02910004e+03 -6.27639619e+02 -5.51958007e+02  7.36061551e+02
 -5.15985717e+02 -1.29301573e+03 -2.06816276e+03 -6.36922082e+02 -5.14498511e+02  6.88278100e+02
 -5.81282599e+02 -1.29283382e+03 -2.09727002e+03 -6.38673617e+02 -4.76949252e+02  6.37181508e+02
 -6.46405449e+02 -1.28000317e+03 -2.11628170e+03 -6.33088077e+02 -4.41018129e+02  5.83017734e+02
 -7.08593243e+02 -1.25487314e+03 -2.12510630e+03 -6.20640783e+02 -4.08331563e+02  5.26047508e+02
 -7.65145344e+02 -1.21841178e+03 -2.12370133e+03 -6.02257772e+02 -3.80366564e+02  4.66545064e+02
 -8.13550964e+02 -1.17220192e+03 -2.11207355e+03 -5.79279951e+02 -3.58325589e+02  4.04796829e+02
 -8.51820742e+02 -1.11834345e+03 -2.09027894e+03 -5.53193222e+02 -3.43087180e+02  3.41100038e+02
 -8.78498501e+02 -1.05933452e+03 -2.05842242e+03 -5.25643216e+02 -3.35167549e+02  2.75761309e+02
 -8.92736918e+02 -9.97939498e+02 -2.01665732e+03 -4.98349528e+02 -3.34693523e+02  2.09095160e+02
 -8.94342023e+02 -9.37042914e+02 -1.96518470e+03 -4.73015054e+02 -3.41395919e+02  1.41422502e+02
 -8.83783331e+02 -8.79497192e+02 -1.90425232e+03 -4.51236082e+02 -3.54623801e+02  7.30690895e+01
 -8.62168967e+02 -8.27972013e+02 -1.83415350e+03 -4.34417970e+02 -3.73378906e+02  4.36395433e+00
 -8.31187072e+02 -7.84813366e+02 -1.75522566e+03 -4.23700903e+02 -3.96368390e+02 -6.43621778e+01
 -7.93016594e+02 -7.51919687e+02 -1.66784876e+03 -4.19899646e+02 -4.22073149e+02 -1.32778480e+02
 -7.50212151e+02 -7.30641647e+02 -1.57244338e+03 -4.23460479e+02 -4.48828075e+02 -2.00555616e+02
 -7.05569072e+02 -7.21710854e+02 -1.46946879e+03 -4.34437583e+02 -4.74910030e+02 -2.67367326e+02
 -6.61975736e+02 -7.25201244e+02 -1.35942067e+03 -4.52490126e+02 -4.98628906e+02 -3.32891995e+02
 -6.22261038e+02 -7.40525176e+02 -1.24282877e+03 -4.76900164e+02 -5.18416964e+02 -3.96814201e+02
 -5.89045151e+02 -7.66464413e+02 -1.12025434e+03 -5.06610311e+02 -5.32911767e+02 -4.58826232e+02
 -5.64602280e+02 -8.01234277e+02 -9.92287428e+02 -5.40278370e+02 -5.41028398e+02 -5.18629559e+02
 -5.50765106e+02 -8.42575517e+02 -8.59544087e+02 -5.76323578e+02 -5.42019227e+02 -5.75936254e+02
 -5.48744362e+02 -8.87872265e+02 -7.22663471e+02 -6.13093655e+02 -5.35514842e+02 -6.30470286e+02
 -5.59117832e+02 -9.34308332e+02 -5.82306443e+02 -6.48899040e+02 -5.21525502e+02 -6.81967184e+02
