               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
  4.70000000e+00 -2.17632382e+02  9.48110146e+02 -1.86474159e+03  1.75962980e+03  1.75962980e+03  1.75962980e+03
  4.80000000e+00 -2.56034974e+01  9.76925163e+02 -1.84000281e+03  1.92028884e+03  1.92028884e+03  1.92028884e+03
  4.90000000e+00  1.73301832e+02  9.61855619e+02 -1.80640330e+03  1.98905330e+03  1.98905330e+03  1.98905330e+03
  5.00000000e+00  3.68995987e+02  9.01209514e+02 -1.76410485e+03  1.95694155e+03  1.95694155e+03  1.95694155e+03
  5.10000000e+00  5.50976214e+02  7.95614015e+02 -1.71331116e+03  1.81980227e+03  1.81980227e+03  1.81980227e+03
  5.20000000e+00  7.08857749e+02  6.48116912e+02 -1.65426683e+03  1.57881535e+03  1.57881535e+03  1.57881535e+03
  5.30000000e+00  8.32931652e+02  4.64165557e+02 -1.58725621e+03  1.24073903e+03  1.24073903e+03  1.24073903e+03
  5.40000000e+00  9.14719197e+02  2.51457248e+02 -1.51260197e+03  8.17875449e+02  8.17875449e+02  8.17875449e+02
  5.50000000e+00  9.47493199e+02  1.96615550e+01 -1.43066363e+03  3.27740019e+02  3.27740019e+02  3.27740019e+02
  5.60000000e+00  9.26736702e+02 -2.19978137e+02 -1.34183578e+03 -2.07564973e+02 -2.07564973e+02 -2.07564973e+02
  5.70000000e+00  8.50511046e+02 -4.55149733e+02 -1.24654617e+03 -7.62256557e+02 -7.62256557e+02 -7.62256557e+02
  5.80000000e+00  7.19708525e+02 -6.73063592e+02 -1.14525368e+03 -1.30802521e+03 -1.30802521e+03 -1.30802521e+03
  5.90000000e+00  5.38169519e+02 -8.61103363e+02 -1.03844610e+03 -1.81539006e+03 -1.81539006e+03 -1.81539006e+03
  6.00000000e+00  3.12650014e+02 -1.00750545e+03 -9.26637762e+02 -2.25519505e+03 -2.25519505e+03 -2.25519505e+03
  6.10000000e+00  5.26325442e+01 -1.10203273e+03 -8.10367101e+02 -2.60017470e+03 -2.60017470e+03 -2.60017470e+03
  6.20000000e+00 -2.30018519e+02 -1.13660635e+03 -6.90194029e+02 -2.82651063e+03 -2.82651063e+03 -2.82651063e+03
  6.30000000e+00 -5.21548075e+02 -1.10585984e+03 -5.66697251e+02 -2.91529556e+03 -2.91529556e+03 -2.91529556e+03
  6.40000000e+00 -8.06930258e+02 -1.00758140e+03 -4.40471481e+02 -2.85382183e+03 -2.85382183e+03 -2.85382183e+03
  6.50000000e+00 -1.07059184e+03 -8.43014558e+02 -3.12124572e+02 -2.63661583e+03 -2.63661583e+03 -2.63661583e+03
  6.60000000e+00 -1.29720672e+03 -6.16992970e+02 -1.82274593e+02 -2.26614877e+03 -2.26614877e+03 -2.26614877e+03
  6.70000000e+00 -1.47252343e+03 -3.37892543e+02 -5.15468507e+01 -1.75316712e+03 -1.75316712e+03 -1.75316712e+03
  6.80000000e+00 -1.58418376e+03 -1.73928528e+01  7.94291211e+01 -1.11660326e+03 -1.11660326e+03 -1.11660326e+03
  6.90000000e+00 -1.62248842e+03  3.29950585e+02  2.10022593e+02 -3.83046629e+02 -3.83046629e+02 -3.83046629e+02
  7.00000000e+00 -1.58106620e+03  6.87311495e+02  3.39604678e+02  4.14222209e+02  4.14222209e+02  4.14222209e+02
  7.10000000e+00 -1.45740535e+03  1.03635365e+03  4.67551360e+02  1.23660853e+03  1.23660853e+03  1.23660853e+03
  7.20000000e+00 -1.25321110e+03  1.35811603e+03  5.93246497e+02  2.04194243e+03  2.04194243e+03  2.04194243e+03
  7.30000000e+00 -9.74560248e+02  1.63398250e+03  7.16084791e+02  2.78650855e+03  2.78650855e+03  2.78650855e+03
  7.40000000e+00 -6.31832684e+02  1.84668959e+03  8.35474699e+02  3.42727564e+03  3.42727564e+03  3.42727564e+03
  7.50000000e+00 -2.39410734e+02  1.98132105e+03  9.50841288e+02  3.92421950e+03  3.92421950e+03  3.92421950e+03
  7.60000000e+00  1.84851387e+02  2.02623559e+03  1.06162900e+03  4.24262121e+03  4.24262121e+03  4.24262121e+03
  7.70000000e+00  6.20373140e+02  1.97387488e+03  1.16730431e+03  4.35521753e+03  4.35521753e+03  4.35521753e+03
  7.80000000e+00  1.04478119e+03  1.82140174e+03  1.26735835e+03  4.24408053e+03  4.24408053e+03  4.24408053e+03
  7.90000000e+00  1.43499232e+03  1.57112500e+03  1.36130928e+03  3.90211126e+03  3.90211126e+03  3.90211126e+03
  8.00000000e+00  1.76839687e+03  1.23067600e+03  1.44870468e+03  3.33404555e+03  3.33404555e+03  3.33404555e+03
  8.10000000e+00  2.02408591e+03  8.12912926e+02  1.52912368e+03  2.55689037e+03  2.55689037e+03  2.55689037e+03
  8.20000000e+00  2.18405936e+03  3.35542257e+02  1.60217902e+03  1.59973448e+03  1.59973448e+03  1.59973448e+03
  8.30000000e+00  2.23435006e+03 -1.79538976e+02  1.66751890e+03  5.02906980e+02  5.02906980e+02  5.02906980e+02
  8.40000000e+00  2.16599913e+03 -7.07161522e+02  1.72482865e+03 -6.83509287e+02 -6.83509287e+02 -6.83509287e+02
  8.50000000e+00  1.97582229e+03 -1.22002921e+03  1.77383230e+03 -1.90176834e+03 -1.90176834e+03 -1.90176834e+03
  8.60000000e+00  1.66691433e+03 -1.69004361e+03  1.81429386e+03 -3.08907966e+03 -3.08907966e+03 -3.08907966e+03
  8.70000000e+00  1.24884967e+03 -2.08974831e+03  1.84601850e+03 -4.18064655e+03 -4.18064655e+03 -4.18064655e+03
  8.80000000e+00  7.37550916e+02 -2.39382290e+03  1.86885343e+03 -5.11298756e+03 -5.11298756e+03 -5.11298756e+03
  8.90000000e+00  1.54812812e+02 -2.58055059e+03  1.88268869e+03 -5.82738103e+03 -5.82738103e+03 -5.82738103e+03
  9.00000000e+00 -4.72512915e+02 -2.63317978e+03  1.88745766e+03 -6.27325727e+03 -6.27325727e+03 -6.27325727e+03
  9.10000000e+00 -1.11364844e+03 -2.54110137e+03  1.88313737e+03 -6.41135529e+03 -6.41135529e+03 -6.41135529e+03
  9.20000000e+00 -1.73529474e+03 -2.30076852e+03  1.86974863e+03 -6.21646293e+03 -6.21646293e+03 -6.21646293e+03
  9.30000000e+00 -2.30325182e+03 -1.91629517e+03  1.84735590e+03 -5.67957084e+03 -5.67957084e+03 -5.67957084e+03
  9.40000000e+00 -2.78418101e+03 -1.39968292e+03  1.81606704e+03 -4.80929189e+03 -4.80929189e+03 -4.80929189e+03
  9.50000000e+00 -3.14742382e+03 -7.70642460e+02  1.77603270e+03 -3.63242807e+03 -3.63242807e+03 -3.63242807e+03
  9.60000000e+00 -3.36678434e+03 -5.59957852e+01  1.72744568e+03 -2.19360528e+03 -2.19360528e+03 -2.19360528e+03
  9.70000000e+00 -3.42217846e+03  7.11333796e+02  1.67053996e+03 -5.53941191e+02 -5.53941191e+02 -5.53941191e+02
  9.80000000e+00 -3.30105454e+03  1.49371395e+03  1.60558957e+03  1.21123927e+03  1.21123927e+03  1.21123927e+03
  9.90000000e+00 -2.99949704e+03  2.25052640e+03  1.53290728e+03  3.01557500e+03  3.01557500e+03  3.01557500e+03
  1.00000000e+01 -2.52293608e+03  2.94014852e+03  1.45284312e+03  4.76560960e+03  4.76560960e+03  4.76560960e+03
  1.01000000e+01 -1.88640231e+03  3.52210337e+03  1.36578263e+03  6.36533766e+03  6.36533766e+03  6.36533766e+03
