             w_v        fraction
  3.00000000e-01  9.69400000e-01
  3.10000000e-01  9.78894000e-01
  3.20000000e-01  9.73488940e-01
  3.30000000e-01  9.79634889e-01
  3.40000000e-01  9.81296349e-01
  3.50000000e-01  9.80212963e-01
  3.60000000e-01  9.78402130e-01
  3.70000000e-01  9.76884021e-01
  3.80000000e-01  9.75168840e-01
  3.90000000e-01  9.77151688e-01
  4.00000000e-01  9.80671517e-01
  4.10000000e-01  9.74006715e-01
  4.20000000e-01  9.75040067e-01
  4.30000000e-01  5.16450401e-01
  4.40000000e-01  1.53464504e-01
  4.50000000e-01  3.26734645e-01
  4.60000000e-01  7.88767346e-01
  4.70000000e-01  8.72487673e-01
  4.80000000e-01  9.13224877e-01
  4.90000000e-01  9.32532249e-01
  5.00000000e-01  9.35325322e-01
  5.10000000e-01  9.47653253e-01
  5.20000000e-01  9.50076533e-01
  5.30000000e-01  9.53000765e-01
  5.40000000e-01  9.56130008e-01
  5.50000000e-01  9.58961300e-01
  5.60000000e-01  9.62489613e-01
  5.70000000e-01  9.61524896e-01
  5.80000000e-01  9.65615249e-01
  5.90000000e-01  9.65256152e-01
  6.00000000e-01  9.67352562e-01
