             y_1            v_y1             y_2            v_y2
 -1.09611891e+03 -4.81323372e+02 -7.95146244e+02 -3.93999568e+01
 -1.14634684e+03 -1.73800864e+01 -7.95342095e+02 -3.93767738e+02
 -1.19890533e+03 -1.42333296e+02 -7.88005234e+02 -3.83511035e+02
 -1.25092517e+03 -2.66332048e+02 -7.73363952e+02 -3.56586740e+02
 -1.29955871e+03 -3.82817021e+02 -7.52028561e+02 -3.14399824e+02
 -1.34213032e+03 -4.85625024e+02 -7.24959183e+02 -2.59160942e+02
 -1.37627768e+03 -5.69314493e+02 -6.93415056e+02 -1.93769681e+02
 -1.40007657e+03 -6.29452887e+02 -6.58888052e+02 -1.21661417e+02
 -1.41214251e+03 -6.62850780e+02 -6.23023895e+02 -4.66258896e+01
 -1.41170386e+03 -6.67730310e+02 -5.87535275e+02  2.73929554e+01
 -1.39864265e+03 -6.43819068e+02 -5.54111404e+02  9.65052537e+01
 -1.37350076e+03 -5.92364491e+02 -5.24328828e+02  1.57080661e+02
 -1.33745134e+03 -5.16067973e+02 -4.99568183e+02  2.05940081e+02
 -1.29223689e+03 -4.18942194e+02 -4.80941301e+02  2.40523563e+02
 -1.24007722e+03 -3.06099195e+02 -4.69232510e+02  2.59025500e+02
 -1.18355222e+03 -1.83480392e+02 -4.64857234e+02  2.60489984e+02
 -1.12546569e+03 -5.75427885e+01 -4.67840077e+02  2.44861287e+02
 -1.06869718e+03  6.50820455e+01 -4.77813546e+02  2.12986803e+02
 -1.01605001e+03  1.77938206e+02 -4.94037482e+02  1.66572285e+02
 -9.70103233e+02  2.75086415e+02 -5.15438177e+02  1.08091758e+02
 -9.33075391e+02  3.51417692e+02 -5.40665105e+02  4.06568483e+01
 -9.06707425e+02  4.02923176e+02 -5.68162269e+02 -3.21475529e+01
 -8.92170728e+02  4.26905840e+02 -5.96250410e+02 -1.06452628e+02
 -8.90005314e+02  4.22122930e+02 -6.23215715e+02 -1.78309960e+02
 -9.00091319e+02  3.88851592e+02 -6.47400358e+02 -2.43900070e+02
 -9.21655360e+02  3.28874229e+02 -6.67290081e+02 -2.99734136e+02
 -9.53311409e+02  2.45384361e+02 -6.81594192e+02 -3.42838256e+02
 -9.93134020e+02  1.42817954e+02 -6.89313757e+02 -3.70910511e+02
 -1.03876005e+03  2.66191413e+01 -6.89794386e+02 -3.82442542e+02
 -1.08751350e+03 -9.70473152e+01 -6.82760818e+02 -3.76799208e+02
 -1.13654686e+03 -2.21621607e+02 -6.68331485e+02 -3.54252138e+02
 -1.18299153e+03 -3.40495335e+02 -6.47012284e+02 -3.15965379e+02
 -1.22410939e+03 -4.47360524e+02 -6.19669888e+02 -2.63933928e+02
 -1.25743736e+03 -5.36542776e+02 -5.87485998e+02 -2.00878359e+02
 -1.28091760e+03 -6.03300958e+02 -5.51894965e+02 -1.30101154e+02
 -1.29300618e+03 -6.44077599e+02 -5.14508059e+02 -5.53122744e+01
 -1.29275467e+03 -6.56686776e+02 -4.77028408e+02  1.95667619e+01
 -1.27986022e+03 -6.40429561e+02 -4.41161073e+02  9.06099951e+01
 -1.25468167e+03 -5.96130933e+02 -4.08523031e+02  1.54094363e+02
 -1.21822054e+03 -5.26096213e+02 -3.80557805e+02  2.06696325e+02
 -1.17206826e+03 -4.33989305e+02 -3.58459257e+02  2.45667389e+02
 -1.11832206e+03 -3.24639200e+02 -3.43108568e+02  2.68979264e+02
 -1.05947434e+03 -2.03784933e+02 -3.35027732e+02  2.75430977e+02
 -9.98281004e+02 -7.77724918e+01 -3.34352017e+02  2.64712296e+02
 -9.37615974e+02  4.67803401e+01 -3.40822858e+02  2.37420109e+02
 -8.80319451e+02  1.63333488e+02 -3.53801542e+02  1.95026897e+02
 -8.29047945e+02  2.65769990e+02 -3.72302974e+02  1.39802957e+02
 -7.86134015e+02  3.48719048e+02 -3.95047741e+02  7.46964997e+01
 -7.53463125e+02  4.07839675e+02 -4.20529712e+02  3.17793365e+00
 -7.32374103e+02  4.40049957e+02 -4.47095619e+02 -7.09434216e+01
 -7.23588480e+02  4.43689806e+02 -4.73032403e+02 -1.43720525e+02
 -7.27172423e+02  4.18608633e+02 -4.96657726e+02 -2.11277078e+02
