             y_1            v_y1             y_2            v_y2
 -1.09611891e+03 -4.81323372e+02 -7.95146244e+02 -3.93999568e+01
 -1.14634704e+03 -1.73770602e+01 -7.95341890e+02 -3.93770764e+02
 -1.19890614e+03 -1.42329004e+02 -7.88004425e+02 -3.83515326e+02
 -1.25092693e+03 -2.66327728e+02 -7.73362192e+02 -3.56591059e+02
 -1.29956171e+03 -3.82813535e+02 -7.52025566e+02 -3.14403310e+02
 -1.34213477e+03 -4.85622913e+02 -7.24954729e+02 -2.59163053e+02
 -1.37628376e+03 -5.69313989e+02 -6.93408979e+02 -1.93770185e+02
 -1.40008438e+03 -6.29453859e+02 -6.58880240e+02 -1.21660446e+02
 -1.41215212e+03 -6.62852597e+02 -6.23014283e+02 -4.66240736e+01
 -1.41171532e+03 -6.67731425e+02 -5.87523816e+02  2.73940712e+01
 -1.39865603e+03 -6.43815613e+02 -5.54098028e+02  9.65017990e+01
 -1.37351627e+03 -5.92343065e+02 -5.24313315e+02  1.57059234e+02
 -1.33747010e+03 -5.15902504e+02 -4.99549418e+02  2.05774612e+02
 -1.29226031e+03 -4.19298366e+02 -4.80917883e+02  2.40879736e+02
 -1.24009875e+03 -3.06489288e+02 -4.69210972e+02  2.59415593e+02
 -1.18356273e+03 -1.83859306e+02 -4.64846725e+02  2.60868897e+02
 -1.12545619e+03 -5.78837943e+01 -4.67849568e+02  2.45202293e+02
 -1.06865957e+03  6.47999398e+01 -4.77851150e+02  2.13268909e+02
 -1.01597754e+03  1.77731533e+02 -4.94109959e+02  1.66778958e+02
 -9.69990870e+02  2.74966991e+02 -5.15550541e+02  1.08211181e+02
 -9.32920155e+02  3.51392107e+02 -5.40820342e+02  4.06824331e+01
 -9.06508521e+02  4.02992256e+02 -5.68361172e+02 -3.22166337e+01
 -8.91929591e+02  4.27063926e+02 -5.96491547e+02 -1.06610714e+02
 -8.89725479e+02  4.22355877e+02 -6.23495550e+02 -1.78542907e+02
 -8.99778055e+02  3.89125943e+02 -6.47713622e+02 -2.44174421e+02
 -9.21314113e+02  3.28954686e+02 -6.67631328e+02 -2.99814593e+02
 -9.52946807e+02  2.46002060e+02 -6.81958794e+02 -3.43455955e+02
 -9.92758739e+02  1.43505056e+02 -6.89689038e+02 -3.71597613e+02
 -1.03838997e+03  2.73110992e+01 -6.90164465e+02 -3.83134500e+02
 -1.08716462e+03 -9.63946064e+01 -6.83109694e+02 -3.77451917e+02
 -1.13623423e+03 -2.21045554e+02 -6.68644111e+02 -3.54828191e+02
 -1.18272840e+03 -3.40027549e+02 -6.47275422e+02 -3.16433165e+02
 -1.22390646e+03 -4.47025950e+02 -6.19872817e+02 -2.64268501e+02
 -1.25730228e+03 -5.36358532e+02 -5.87621076e+02 -2.01062604e+02
 -1.28085456e+03 -6.03275142e+02 -5.51958007e+02 -1.30126969e+02
 -1.29301573e+03 -6.44207578e+02 -5.14498511e+02 -5.51822956e+01
 -1.29283382e+03 -6.56953389e+02 -4.76949252e+02  1.98333742e+01
 -1.28000317e+03 -6.40737854e+02 -4.41018129e+02  9.09182881e+01
 -1.25487314e+03 -5.98505623e+02 -4.08331563e+02  1.56469053e+02
 -1.21841178e+03 -5.28514999e+02 -3.80366564e+02  2.09115111e+02
 -1.17220192e+03 -4.36288148e+02 -3.58325589e+02  2.47966232e+02
 -1.11834345e+03 -3.26685135e+02 -3.43087180e+02  2.71025199e+02
 -1.05933452e+03 -2.05462630e+02 -3.35167549e+02  2.77108674e+02
 -9.97939498e+02 -7.89873900e+01 -3.34693523e+02  2.65927194e+02
 -9.37042914e+02  4.60977951e+01 -3.41395919e+02  2.38102654e+02
 -8.79497192e+02  1.63224423e+02 -3.54623801e+02  1.95135962e+02
 -8.27972013e+02  2.66245013e+02 -3.73378906e+02  1.39327934e+02
 -7.84813366e+02  3.49757697e+02 -3.96368390e+02  7.36578505e+01
 -7.51919687e+02  4.09391446e+02 -4.22073149e+02  1.62616272e+00
 -7.30641647e+02  4.42036858e+02 -4.48828075e+02 -7.29303222e+01
 -7.21710854e+02  4.46010265e+02 -4.74910030e+02 -1.46040984e+02
 -7.25201244e+02  4.21142459e+02 -4.98628906e+02 -2.13810904e+02
 -7.40525176e+02  3.68787047e+02 -5.18416964e+02 -2.72625998e+02
 -7.66464413e+02  2.91746487e+02 -5.32911767e+02 -3.19341433e+02
 -8.01234277e+02  1.94107161e+02 -5.41028398e+02 -3.51430802e+02
 -8.42575517e+02  8.05743623e+01 -5.42019227e+02 -3.66670371e+02
 -8.87872265e+02 -4.11733720e+01 -5.35514842e+02 -3.65859370e+02
 -9.34308332e+02 -1.66211239e+02 -5.21525502e+02 -3.47456339e+02
 -9.78999329e+02 -2.87487489e+02 -5.00457283e+02 -3.12801332e+02
 -1.01914538e+03 -3.98519013e+02 -4.73090338e+02 -2.63721988e+02
 -1.05218125e+03 -4.93382760e+02 -4.40535542e+02 -2.02787995e+02
 -1.07591225e+03 -5.67000091e+02 -4.04175442e+02 -1.33203847e+02
 -1.08863126e+03 -6.15274027e+02 -3.65590237e+02 -5.87705805e+01
 -1.08920124e+03 -6.38173124e+02 -3.26482061e+02  1.91824665e+01
 -1.07709266e+03 -6.29990775e+02 -2.88607775e+02  9.21254910e+01
 -1.05246448e+03 -5.93127798e+02 -2.53633262e+02  1.58259917e+02
 -1.01614119e+03 -5.29518339e+02 -2.23060121e+02  2.14166074e+02
 -9.69560469e+02 -4.42477903e+02 -1.98155195e+02  2.56933979e+02
 -9.14697102e+02 -3.36554568e+02 -1.79883956e+02  2.84343329e+02
 -8.53958654e+02 -2.17292078e+02 -1.68859616e+02  2.94984057e+02
 -7.90058355e+02 -9.09378001e+01 -1.65310796e+02  2.88331531e+02
 -7.25871850e+02  3.58869863e+01 -1.69069499e+02  2.64774488e+02
 -6.64285378e+02  1.56536694e+02 -1.79580028e+02  2.25594586e+02
 -6.08043396e+02  2.64692353e+02 -1.95928368e+02  1.72898752e+02
 -5.59603688e+02  3.54695299e+02 -2.16890499e+02  1.09507942e+02
 -5.21007635e+02  4.21845982e+02 -2.40997069e+02  3.88081821e+01
 -4.93772469e+02  4.62652104e+02 -2.66611022e+02 -3.54282075e+01
 -4.78811222e+02  4.75012980e+02 -2.92014073e+02 -1.09241774e+02
 -4.76384585e+02  4.58330402e+02 -3.15497485e+02 -1.78694978e+02
 -4.86087157e+02  4.13540229e+02 -3.35452385e+02 -2.40080165e+02
 -5.06868789e+02  3.43063128e+02 -3.50454909e+02 -2.90115552e+02
 -5.37089929e+02  2.50676782e+02 -3.59341619e+02 -3.26118623e+02
 -5.74608219e+02  1.41315569e+02 -3.61271037e+02 -3.46147005e+02
 -6.16891768e+02  2.08070684e+01 -3.55768067e+02 -3.49098172e+02
 -6.61152890e+02 -1.04443995e+02 -3.42749161e+02 -3.34759405e+02
 -7.04494922e+02 -2.27813443e+02 -3.22527252e+02 -3.03799602e+02
 -7.44064145e+02 -3.42784806e+02 -2.95796384e+02 -2.57756648e+02
 -7.77199982e+02 -4.43081715e+02 -2.63595677e+02 -1.99167965e+02
 -8.01578181e+02 -5.23214323e+02 -2.27251885e+02 -1.31221573e+02
 -8.15336080e+02 -5.78953519e+02 -1.88306910e+02 -5.74034451e+01
 -8.17170362e+02 -6.07343314e+02 -1.48437094e+02  1.84756180e+01
 -8.06404848e+02 -6.06841174e+02 -1.09365826e+02  9.24654609e+01
 -7.83025767e+02 -5.77418845e+02 -7.27730721e+01  1.60704547e+02
 -7.47682369e+02 -5.20571405e+02 -4.02068646e+01  2.19631449e+02
