             w_v        fraction
  3.00000000e-01  1.38735256e-02
  3.10000000e-01  3.63873526e-03
  3.20000000e-01  3.63638735e-03
  3.30000000e-01  4.13636387e-03
  3.40000000e-01  3.64136364e-03
  3.50000000e-01  3.53641364e-03
  3.60000000e-01  3.43536414e-03
  3.70000000e-01  3.43435364e-03
  3.80000000e-01  3.03434354e-03
  3.90000000e-01  3.33034344e-03
  4.00000000e-01  2.63330343e-03
  4.10000000e-01  3.62633303e-03
  4.20000000e-01  2.73626333e-03
  4.30000000e-01  9.27362633e-04
  4.40000000e-01  5.09273626e-04
  4.50000000e-01  1.50509274e-03
  4.60000000e-01  2.81505093e-03
  4.70000000e-01  2.72815051e-03
  4.80000000e-01  3.32728151e-03
  4.90000000e-01  2.83327282e-03
  5.00000000e-01  4.32833273e-03
  5.10000000e-01  3.14328333e-03
  5.20000000e-01  3.73143283e-03
  5.30000000e-01  4.33731433e-03
  5.40000000e-01  2.94337314e-03
  5.50000000e-01  2.92943373e-03
  5.60000000e-01  4.32929434e-03
  5.70000000e-01  3.84329294e-03
  5.80000000e-01  4.23843293e-03
  5.90000000e-01  3.44238433e-03
  6.00000000e-01  3.83442384e-03
