               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e+01 -1.14263501e+05 -4.81323372e+03 -8.89516717e+04 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  2.00000000e+01 -2.28591989e+05 -9.62646744e+03 -1.79789667e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  3.00000000e+01 -3.42920478e+05 -1.44397012e+04 -2.70627663e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  4.00000000e+01 -4.57248966e+05 -1.92529349e+04 -3.61465659e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  5.00000000e+01 -5.71577455e+05 -2.40661686e+04 -4.52303654e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  6.00000000e+01 -6.85905943e+05 -2.88794023e+04 -5.43141650e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  7.00000000e+01 -8.00234432e+05 -3.36926360e+04 -6.33979646e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  8.00000000e+01 -9.14562921e+05 -3.85058698e+04 -7.24817641e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  9.00000000e+01 -1.02889141e+06 -4.33191035e+04 -8.15655637e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
  1.00000000e+02 -1.14321990e+06 -4.81323372e+04 -9.06493633e+05 -1.14328489e+04 -1.14328489e+04 -1.14328489e+04
