             y_1            v_y1             y_2            v_y2
 -1.09611891e+03 -4.81323372e+02 -7.95146244e+02 -3.93999568e+01
 -1.10095717e+03  9.04269781e+01 -7.95503184e+02 -3.88295638e+02
 -1.10584372e+03  7.88213098e+01 -7.95785785e+02 -3.89589856e+02
 -1.11077587e+03  6.71077171e+01 -7.95993740e+02 -3.90713713e+02
 -1.11575093e+03  5.52924235e+01 -7.96126785e+02 -3.91666598e+02
 -1.12076616e+03  4.33817066e+01 -7.96184693e+02 -3.92447991e+02
 -1.12581883e+03  3.13818947e+01 -7.96167278e+02 -3.93057460e+02
 -1.13090617e+03  1.92993633e+01 -7.96074392e+02 -3.93494668e+02
 -1.13602538e+03  7.14053182e+00 -7.95905929e+02 -3.93759366e+02
 -1.14117367e+03 -5.08813977e+00 -7.95661821e+02 -3.93851399e+02
 -1.14634821e+03 -1.73801544e+01 -7.95342038e+02 -3.93770702e+02
 -1.15154617e+03 -2.97289815e+01 -7.94946595e+02 -3.93517301e+02
 -1.15676470e+03 -4.21280600e+01 -7.94475541e+02 -3.93091316e+02
 -1.16200094e+03 -5.45708025e+01 -7.93928969e+02 -3.92492956e+02
 -1.16725203e+03 -6.70505981e+01 -7.93307009e+02 -3.91722522e+02
 -1.17251507e+03 -7.95608164e+01 -7.92609832e+02 -3.90780407e+02
 -1.17778720e+03 -9.20948107e+01 -7.91837648e+02 -3.89667094e+02
 -1.18306550e+03 -1.04645922e+02 -7.90990707e+02 -3.88383159e+02
 -1.18834710e+03 -1.17207481e+02 -7.90069297e+02 -3.86929265e+02
 -1.19362910e+03 -1.29772814e+02 -7.89073746e+02 -3.85306168e+02
 -1.19890859e+03 -1.42335245e+02 -7.88004422e+02 -3.83514711e+02
 -1.20418268e+03 -1.54888100e+02 -7.86861729e+02 -3.81555830e+02
 -1.20944847e+03 -1.67424709e+02 -7.85646113e+02 -3.79430546e+02
 -1.21470307e+03 -1.79938410e+02 -7.84358055e+02 -3.77139970e+02
 -1.21994360e+03 -1.92422555e+02 -7.82998076e+02 -3.74685301e+02
 -1.22516717e+03 -2.04870510e+02 -7.81566735e+02 -3.72067824e+02
 -1.23037091e+03 -2.17275661e+02 -7.80064626e+02 -3.69288911e+02
 -1.23555197e+03 -2.29631418e+02 -7.78492385e+02 -3.66350019e+02
 -1.24070748e+03 -2.41931213e+02 -7.76850679e+02 -3.63252691e+02
 -1.24583463e+03 -2.54168512e+02 -7.75140215e+02 -3.59998552e+02
 -1.25093057e+03 -2.66336811e+02 -7.73361736e+02 -3.56589312e+02
 -1.25599251e+03 -2.78429645e+02 -7.71516020e+02 -3.53026762e+02
 -1.26101765e+03 -2.90440587e+02 -7.69603879e+02 -3.49312775e+02
 -1.26600323e+03 -3.02363255e+02 -7.67626163e+02 -3.45449305e+02
 -1.27094649e+03 -3.14191312e+02 -7.65583754e+02 -3.41438383e+02
 -1.27584470e+03 -3.25918473e+02 -7.63477569e+02 -3.37282120e+02
 -1.28069516e+03 -3.37538505e+02 -7.61308557e+02 -3.32982704e+02
 -1.28549519e+03 -3.49045232e+02 -7.59077701e+02 -3.28542398e+02
 -1.29024213e+03 -3.60432539e+02 -7.56786017e+02 -3.23963541e+02
 -1.29493336e+03 -3.71694373e+02 -7.54434553e+02 -3.19248543e+02
 -1.29956627e+03 -3.82824748e+02 -7.52024386e+02 -3.14399889e+02
 -1.30413830e+03 -3.93817748e+02 -7.49556627e+02 -3.09420134e+02
 -1.30864691e+03 -4.04667530e+02 -7.47032414e+02 -3.04311901e+02
 -1.31308960e+03 -4.15368326e+02 -7.44452918e+02 -2.99077883e+02
 -1.31746390e+03 -4.25914447e+02 -7.41819336e+02 -2.93720839e+02
 -1.32176737e+03 -4.36300288e+02 -7.39132894e+02 -2.88243593e+02
 -1.32599762e+03 -4.46520325e+02 -7.36394847e+02 -2.82649034e+02
 -1.33015229e+03 -4.56569126e+02 -7.33606475e+02 -2.76940110e+02
 -1.33422906e+03 -4.66441347e+02 -7.30769087e+02 -2.71119833e+02
 -1.33822564e+03 -4.76131740e+02 -7.27884015e+02 -2.65191273e+02
 -1.34213981e+03 -4.85635150e+02 -7.24952617e+02 -2.59157557e+02
 -1.34596937e+03 -4.94946525e+02 -7.21976276e+02 -2.53021868e+02
 -1.34971217e+03 -5.04060911e+02 -7.18956397e+02 -2.46787442e+02
 -1.35336610e+03 -5.12973462e+02 -7.15894408e+02 -2.40457570e+02
 -1.35692912e+03 -5.21679436e+02 -7.12791760e+02 -2.34035592e+02
 -1.36039919e+03 -5.30174202e+02 -7.09649924e+02 -2.27524895e+02
 -1.36377438e+03 -5.38453242e+02 -7.06470393e+02 -2.20928916e+02
 -1.36705275e+03 -5.46512149e+02 -7.03254677e+02 -2.14251136e+02
 -1.37023246e+03 -5.54346637e+02 -7.00004307e+02 -2.07495080e+02
 -1.37331169e+03 -5.61952535e+02 -6.96720832e+02 -2.00664313e+02
 -1.37628868e+03 -5.69325796e+02 -6.93405818e+02 -1.93762440e+02
 -1.37916174e+03 -5.76462495e+02 -6.90060845e+02 -1.86793106e+02
 -1.38192921e+03 -5.83358832e+02 -6.86687512e+02 -1.79759989e+02
 -1.38458949e+03 -5.90011136e+02 -6.83287431e+02 -1.72666801e+02
 -1.38714106e+03 -5.96415864e+02 -6.79862228e+02 -1.65517289e+02
 -1.38958242e+03 -6.02569604e+02 -6.76413542e+02 -1.58315225e+02
 -1.39191217e+03 -6.08469079e+02 -6.72943023e+02 -1.51064413e+02
 -1.39412892e+03 -6.14111144e+02 -6.69452334e+02 -1.43768681e+02
 -1.39623138e+03 -6.19492793e+02 -6.65943148e+02 -1.36431880e+02
 -1.39821831e+03 -6.24611157e+02 -6.62417146e+02 -1.29057886e+02
 -1.40008851e+03 -6.29463505e+02 -6.58876020e+02 -1.21650591e+02
 -1.40184087e+03 -6.34047251e+02 -6.55321467e+02 -1.14213907e+02
 -1.40347432e+03 -6.38359946e+02 -6.51755192e+02 -1.06751760e+02
 -1.40498787e+03 -6.42399289e+02 -6.48178906e+02 -9.92680921e+01
 -1.40638057e+03 -6.46163122e+02 -6.44594324e+02 -9.17668541e+01
 -1.40765156e+03 -6.49649434e+02 -6.41003168e+02 -8.42520077e+01
 -1.40880003e+03 -6.52856359e+02 -6.37407159e+02 -7.67275213e+01
 -1.40982522e+03 -6.55782181e+02 -6.33808022e+02 -6.91973688e+01
 -1.41072647e+03 -6.58425333e+02 -6.30207484e+02 -6.16655270e+01
 -1.41150316e+03 -6.60784396e+02 -6.26607272e+02 -5.41359738e+01
 -1.41215474e+03 -6.62858103e+02 -6.23009112e+02 -4.66126860e+01
 -1.41268072e+03 -6.64645338e+02 -6.19414729e+02 -3.90996372e+01
 -1.41308069e+03 -6.66145136e+02 -6.15825844e+02 -3.16007958e+01
 -1.41335429e+03 -6.67356684e+02 -6.12244178e+02 -2.41201227e+01
 -1.41350124e+03 -6.68279323e+02 -6.08671445e+02 -1.66615696e+01
 -1.41352133e+03 -6.68912545e+02 -6.05109354e+02 -9.22907667e+00
 -1.41341439e+03 -6.69255996e+02 -6.01559610e+02 -1.82657064e+00
 -1.41318035e+03 -6.69309476e+02 -5.98023910e+02  5.54203729e+00
 -1.41281919e+03 -6.69072936e+02 -5.94503942e+02  1.28728534e+01
 -1.41233095e+03 -6.68546483e+02 -5.91001386e+02  2.01620035e+01
 -1.41171575e+03 -6.67730375e+02 -5.87517914e+02  2.74056347e+01
 -1.41097377e+03 -6.66625023e+02 -5.84055186e+02  3.45999175e+01
 -1.41010526e+03 -6.65230991e+02 -5.80614850e+02  4.17410475e+01
 -1.40911053e+03 -6.63548994e+02 -5.77198543e+02  4.88252472e+01
 -1.40798997e+03 -6.61579898e+02 -5.73807888e+02  5.58487680e+01
 -1.40674402e+03 -6.59324721e+02 -5.70444495e+02  6.28078914e+01
 -1.40537320e+03 -6.56784628e+02 -5.67109958e+02  6.96989308e+01
 -1.40387808e+03 -6.53960934e+02 -5.63805856e+02  7.65182328e+01
 -1.40225930e+03 -6.50855100e+02 -5.60533752e+02  8.32621782e+01
 -1.40051759e+03 -6.47468730e+02 -5.57295190e+02  8.99271832e+01
 -1.39865370e+03 -6.43803574e+02 -5.54091698e+02  9.65096994e+01
 -1.39666848e+03 -6.39861518e+02 -5.50924782e+02  1.03006214e+02
 -1.39456283e+03 -6.35644586e+02 -5.47795932e+02  1.09413249e+02
 -1.39233771e+03 -6.31154933e+02 -5.44706613e+02  1.15727360e+02
 -1.38999415e+03 -6.26394836e+02 -5.41658273e+02  1.21945128e+02
 -1.38753325e+03 -6.21366688e+02 -5.38652334e+02  1.28063159e+02
 -1.38495614e+03 -6.16072980e+02 -5.35690197e+02  1.34078068e+02
 -1.38226405e+03 -6.10516279e+02 -5.32773240e+02  1.39986460e+02
 -1.37945825e+03 -6.04699191e+02 -5.29902814e+02  1.45784895e+02
 -1.37654007e+03 -5.98624298e+02 -5.27080247e+02  1.51469829e+02
 -1.37351090e+03 -5.92294033e+02 -5.24306839e+02  1.57037495e+02
 -1.37037219e+03 -5.85710450e+02 -5.21583864e+02  1.62483672e+02
 -1.36712546e+03 -5.78874698e+02 -5.18912567e+02  1.67803163e+02
 -1.36377227e+03 -5.71785725e+02 -5.16294166e+02  1.72988507e+02
 -1.36031424e+03 -5.64436409e+02 -5.13729844e+02  1.78026106e+02
 -1.35675308e+03 -5.56798387e+02 -5.11220752e+02  1.82881066e+02
 -1.35309052e+03 -5.48724268e+02 -5.08767992e+02  1.87399404e+02
 -1.34932856e+03 -5.37224257e+02 -5.06372473e+02  1.88584683e+02
 -1.34546952e+03 -5.31011313e+02 -5.04034771e+02  1.95143170e+02
 -1.34151509e+03 -5.22851952e+02 -5.01756120e+02  1.99834646e+02
 -1.33746708e+03 -5.14313869e+02 -4.99537657e+02  2.04220024e+02
 -1.33332745e+03 -5.05519891e+02 -4.97380389e+02  2.08415314e+02
 -1.32909820e+03 -4.96502312e+02 -4.95285275e+02  2.12445959e+02
 -1.32478142e+03 -4.87275651e+02 -4.93253235e+02  2.16319593e+02
 -1.32037921e+03 -4.77849088e+02 -4.91285155e+02  2.20038485e+02
 -1.31589373e+03 -4.68229797e+02 -4.89381880e+02  2.23602875e+02
 -1.31132721e+03 -4.58424096e+02 -4.87544225e+02  2.27012125e+02
 -1.30668189e+03 -4.48437914e+02 -4.85772965e+02  2.30265194e+02
 -1.30196005e+03 -4.38277010e+02 -4.84068842e+02  2.33360854e+02
 -1.29716404e+03 -4.27947077e+02 -4.82432559e+02  2.36297805e+02
 -1.29229623e+03 -4.17453799e+02 -4.80864785e+02  2.39074734e+02
 -1.28735902e+03 -4.06802886e+02 -4.79366150e+02  2.41690348e+02
 -1.28235486e+03 -3.96000086e+02 -4.77937247e+02  2.44143400e+02
 -1.27728623e+03 -3.85051201e+02 -4.76578634e+02  2.46432697e+02
 -1.27215565e+03 -3.73962090e+02 -4.75290828e+02  2.48557114e+02
 -1.26696566e+03 -3.62738669e+02 -4.74074310e+02  2.50515598e+02
 -1.26171883e+03 -3.51386916e+02 -4.72929523e+02  2.52307175e+02
 -1.25641779e+03 -3.39912868e+02 -4.71856870e+02  2.53930948e+02
 -1.25106515e+03 -3.28322621e+02 -4.70856715e+02  2.55386105e+02
