             x_1             y_1             x_2             y_2
  6.49879533e+01 -1.09611891e+03 -2.48947846e+02 -7.95146244e+02
  6.92883902e+01 -1.14634684e+03 -2.88120156e+02 -7.95342095e+02
  6.13221513e+01 -1.19890533e+03 -3.27125800e+02 -7.88005234e+02
  4.08531990e+01 -1.25092517e+03 -3.64264283e+02 -7.73363952e+02
  8.30682404e+00 -1.29955871e+03 -3.97932043e+02 -7.52028561e+02
 -3.52527458e+01 -1.34213032e+03 -4.26707098e+02 -7.24959183e+02
 -8.81784809e+01 -1.37627768e+03 -4.49424110e+02 -6.93415056e+02
 -1.48327466e+02 -1.40007657e+03 -4.65235893e+02 -6.58888052e+02
 -2.13174004e+02 -1.41214251e+03 -4.73658109e+02 -6.23023895e+02
 -2.79942940e+02 -1.41170386e+03 -4.74594821e+02 -5.87535275e+02
 -3.45756153e+02 -1.39864265e+03 -4.68343508e+02 -5.54111404e+02
 -4.07784494e+02 -1.37350076e+03 -4.55579325e+02 -5.24328828e+02
 -4.63397129e+02 -1.33745134e+03 -4.37319403e+02 -4.99568183e+02
 -5.10300417e+02 -1.29223689e+03 -4.14869090e+02 -4.80941301e+02
 -5.46658971e+02 -1.24007722e+03 -3.89752980e+02 -4.69232510e+02
 -5.71192521e+02 -1.18355222e+03 -3.63634347e+02 -4.64857234e+02
 -5.83243461e+02 -1.12546569e+03 -3.38227271e+02 -4.67840077e+02
 -5.82811506e+02 -1.06869718e+03 -3.15206073e+02 -4.77813546e+02
 -5.70553641e+02 -1.01605001e+03 -2.96116848e+02 -4.94037482e+02
 -5.47749344e+02 -9.70103233e+02 -2.82295777e+02 -5.15438177e+02
 -5.16232949e+02 -9.33075391e+02 -2.74798525e+02 -5.40665105e+02
 -4.78296697e+02 -9.06707425e+02 -2.74344446e+02 -5.68162269e+02
 -4.36569601e+02 -8.92170728e+02 -2.81278564e+02 -5.96250410e+02
 -3.93878531e+02 -8.90005314e+02 -2.95553311e+02 -6.23215715e+02
 -3.53098850e+02 -9.00091319e+02 -3.16731007e+02 -6.47400358e+02
 -3.17002482e+02 -9.21655360e+02 -3.44006943e+02 -6.67290081e+02
 -2.88111456e+02 -9.53311409e+02 -3.76251846e+02 -6.81594192e+02
 -2.68564634e+02 -9.93134020e+02 -4.12071487e+02 -6.89313757e+02
 -2.60004689e+02 -1.03876005e+03 -4.49880282e+02 -6.89794386e+02
 -2.63491283e+02 -1.08751350e+03 -4.87985000e+02 -6.82760818e+02
 -2.79445032e+02 -1.13654686e+03 -5.24674156e+02 -6.68331485e+02
 -3.07625233e+02 -1.18299153e+03 -5.58308367e+02 -6.47012284e+02
 -3.47142510e+02 -1.22410939e+03 -5.87406904e+02 -6.19669888e+02
 -3.96505720e+02 -1.25743736e+03 -6.10725859e+02 -5.87485998e+02
 -4.53700642e+02 -1.28091760e+03 -6.27323808e+02 -5.51894965e+02
 -5.16296294e+02 -1.29300618e+03 -6.36611504e+02 -5.14508059e+02
 -5.81573258e+02 -1.29275467e+03 -6.38382957e+02 -4.77028408e+02
 -6.46667236e+02 -1.27986022e+03 -6.32826289e+02 -4.41161073e+02
 -7.08720265e+02 -1.25468167e+03 -6.20513761e+02 -4.08523031e+02
 -7.65031593e+02 -1.21822054e+03 -6.02371524e+02 -3.80557805e+02
 -8.13200248e+02 -1.17206826e+03 -5.79630667e+02 -3.58459257e+02
 -8.51251786e+02 -1.11832206e+03 -5.53762178e+02 -3.43108568e+02
 -8.77742500e+02 -1.05947434e+03 -5.26399217e+02 -3.35027732e+02
 -8.91835609e+02 -9.98281004e+02 -4.99250837e+02 -3.34352017e+02
 -8.93345383e+02 -9.37615974e+02 -4.74011695e+02 -3.40822858e+02
 -8.82746896e+02 -8.80319451e+02 -4.52272517e+02 -3.53801542e+02
 -8.61150872e+02 -8.29047945e+02 -4.35436065e+02 -3.72302974e+02
 -8.30244958e+02 -7.86134015e+02 -4.24643017e+02 -3.95047741e+02
 -7.92204537e+02 -7.53463125e+02 -4.20711703e+02 -4.20529712e+02
 -7.49577775e+02 -7.32374103e+02 -4.24094854e+02 -4.47095619e+02
 -7.05150984e+02 -7.23588480e+02 -4.34855672e+02 -4.73032403e+02
 -6.61801405e+02 -7.27172423e+02 -4.52664457e+02 -4.96657726e+02
 -6.22345196e+02 -7.42533289e+02 -4.76816006e+02 -5.16408851e+02
 -5.89388640e+02 -7.68450968e+02 -5.06266823e+02 -5.30925212e+02
 -5.65190441e+02 -8.03142369e+02 -5.39690209e+02 -5.39120306e+02
 -5.51542379e+02 -8.44355636e+02 -5.75546305e+02 -5.40239108e+02
 -5.49674620e+02 -8.89489126e+02 -6.12163397e+02 -5.33897981e+02
 -5.60190699e+02 -9.35728859e+02 -6.47826174e+02 -5.20104975e+02
 -5.83035582e+02 -9.80197180e+02 -6.80866303e+02 -4.99259431e+02
 -6.17498529e+02 -1.02010479e+03 -7.09750515e+02 -4.72130934e+02
 -6.62250569e+02 -1.05289810e+03 -7.33161555e+02 -4.39818695e+02
 -7.15414643e+02 -1.07639415e+03 -7.50067734e+02 -4.03693538e+02
 -7.74664680e+02 -1.08889596e+03 -7.59777389e+02 -3.65325538e+02
 -8.37348400e+02 -1.08928216e+03 -7.61975392e+02 -3.26401134e+02
 -9.00627335e+02 -1.07706633e+03 -7.56739771e+02 -2.88634099e+02
 -9.61626689e+02 -1.05242267e+03 -7.44537563e+02 -2.53675070e+02
 -1.01758712e+03 -1.01617691e+03 -7.26200133e+02 -2.23024402e+02
 -1.06601040e+03 -9.69762688e+02 -7.02879238e+02 -1.97952976e+02
 -1.10479136e+03 -9.15145949e+02 -6.75986185e+02 -1.79435109e+02
 -1.13232893e+03 -8.54721129e+02 -6.47117268e+02 -1.68097141e+02
 -1.14761076e+03 -7.91184758e+02 -6.17969446e+02 -1.64184392e+02
 -1.15026652e+03 -7.27393101e+02 -5.90250701e+02 -1.67548248e+02
 -1.14058751e+03 -6.66211361e+02 -5.65589812e+02 -1.77654045e+02
 -1.11951117e+03 -6.10362411e+02 -5.45450318e+02 -1.93609352e+02
 -1.08857153e+03 -5.62283048e+02 -5.31053205e+02 -2.14211139e+02
 -1.04981816e+03 -5.23995351e+02 -5.23312403e+02 -2.38009354e+02
 -1.00570787e+03 -4.96999942e+02 -5.22786503e+02 -2.63383549e+02
 -9.58974893e+02 -4.82196796e+02 -5.29649241e+02 -2.88628500e+02
 -9.12486477e+02 -4.79837765e+02 -5.43680305e+02 -3.12044305e+02
 -8.69091373e+02 -4.89513338e+02 -5.64276957e+02 -3.32026203e+02
 -8.31469354e+02 -5.10174327e+02 -5.90485853e+02 -3.47149371e+02
 -8.01989642e+02 -5.40187338e+02 -6.21053375e+02 -3.56244210e+02
 -7.82585740e+02 -5.77421101e+02 -6.54491830e+02 -3.58458155e+02
 -7.74653276e+02 -6.19359087e+02 -6.89158002e+02 -3.53300748e+02
 -7.78976254e+02 -6.63232476e+02 -7.23339929e+02 -3.40669575e+02
 -7.95685613e+02 -7.06166455e+02 -7.55347302e+02 -3.20855719e+02
 -8.24252266e+02 -7.45332104e+02 -7.83600725e+02 -2.94528425e+02
 -8.63515016e+02 -7.78095864e+02 -8.06715115e+02 -2.62699796e+02
 -9.11741837e+02 -8.02158687e+02 -8.23572844e+02 -2.26671380e+02
 -9.66721319e+02 -8.15677519e+02 -8.33382750e+02 -1.87965471e+02
 -1.02587942e+03 -8.17362702e+02 -8.35721912e+02 -1.48244754e+02
 -1.08641539e+03 -8.06546143e+02 -8.30557976e+02 -1.09224532e+02
 -1.14544962e+03 -7.83216663e+02 -8.18250849e+02 -7.25821760e+01
 -1.20017573e+03 -7.48020653e+02 -7.99533685e+02 -3.98685802e+01
 -1.24800874e+03 -7.02227992e+02 -7.75474151e+02 -1.24262941e+01
 -1.28672154e+03 -6.47665047e+02 -7.47418032e+02  8.68133937e+00
 -1.31456248e+03 -5.86618278e+02 -7.16918148e+02  2.27263001e+01
 -1.33034789e+03 -5.21713547e+02 -6.85652329e+02  2.93542976e+01
 -1.33352450e+03 -4.55777498e+02 -6.55334804e+02  2.86034391e+01
 -1.32419867e+03 -3.91688341e+02 -6.27625652e+02  2.09021737e+01
 -1.30313075e+03 -3.32223904e+02 -6.04043124e+02  7.04662142e+00
 -1.27169484e+03 -2.79914997e+02 -5.85883451e+02 -1.18415165e+01
 -1.23180623e+03 -2.36911812e+02 -5.74152383e+02 -3.43742422e+01
 -1.18582024e+03 -2.04870436e+02 -5.69512063e+02 -5.89706095e+01
