             x_1             y_1             z_1             x_2             y_2             z_2
 -5.54131409e+01 -1.35692457e+03  1.39644041e+03 -4.36578753e+02 -7.12796303e+02  3.11410671e+02
 -6.06726079e+01 -1.36039450e+03  1.38528189e+03 -4.38886607e+02 -7.09654614e+02  3.17933547e+02
 -6.60159466e+01 -1.36376954e+03  1.37405666e+03 -4.41128926e+02 -7.06475231e+02  3.24441112e+02
 -7.14409776e+01 -1.36704776e+03  1.36276526e+03 -4.43304874e+02 -7.03259664e+02  3.30933053e+02
 -7.69454779e+01 -1.37022732e+03  1.35140824e+03 -4.45413651e+02 -7.00009445e+02  3.37409058e+02
 -8.25271826e+01 -1.37330640e+03  1.33998613e+03 -4.47454492e+02 -6.96726122e+02  3.43868815e+02
 -8.81837853e+01 -1.37628324e+03  1.32849950e+03 -4.49426668e+02 -6.93411261e+02  3.50312012e+02
 -9.39129399e+01 -1.37915614e+03  1.31694890e+03 -4.51329486e+02 -6.90066443e+02  3.56738340e+02
 -9.97122619e+01 -1.38192345e+03  1.30533487e+03 -4.53162290e+02 -6.86693266e+02  3.63147489e+02
 -1.05579329e+02 -1.38458358e+03  1.29365799e+03 -4.54924460e+02 -6.83293342e+02  3.69539150e+02
 -1.11511683e+02 -1.38713499e+03  1.28191880e+03 -4.56615414e+02 -6.79868297e+02  3.75913016e+02
 -1.17506832e+02 -1.38957620e+03  1.27011789e+03 -4.58234608e+02 -6.76419770e+02  3.82268779e+02
 -1.23562248e+02 -1.39190578e+03  1.25825581e+03 -4.59781535e+02 -6.72949411e+02  3.88606133e+02
 -1.29675374e+02 -1.39412237e+03  1.24633314e+03 -4.61255728e+02 -6.69458884e+02  3.94924774e+02
 -1.35843621e+02 -1.39622467e+03  1.23435045e+03 -4.62656755e+02 -6.65949860e+02  4.01224397e+02
 -1.42064368e+02 -1.39821144e+03  1.22230832e+03 -4.63984225e+02 -6.62424022e+02  4.07504699e+02
 -1.48334972e+02 -1.40008147e+03  1.21020733e+03 -4.65237787e+02 -6.58883059e+02  4.13765377e+02
 -1.54652757e+02 -1.40183367e+03  1.19804806e+03 -4.66417126e+02 -6.55328671e+02  4.20006130e+02
 -1.61015025e+02 -1.40346695e+03  1.18583110e+03 -4.67521968e+02 -6.51762563e+02  4.26226657e+02
 -1.67419056e+02 -1.40498033e+03  1.17355703e+03 -4.68552077e+02 -6.48186444e+02  4.32426658e+02
 -1.73862104e+02 -1.40637287e+03  1.16122645e+03 -4.69507260e+02 -6.44602031e+02  4.38605836e+02
 -1.80341404e+02 -1.40764369e+03  1.14883995e+03 -4.70387358e+02 -6.41011043e+02  4.44763892e+02
 -1.86854172e+02 -1.40879198e+03  1.13639812e+03 -4.71192257e+02 -6.37415204e+02  4.50900530e+02
 -1.93397605e+02 -1.40981701e+03  1.12390157e+03 -4.71921879e+02 -6.33816238e+02  4.57015455e+02
 -1.99968885e+02 -1.41071809e+03  1.11135090e+03 -4.72576187e+02 -6.30215872e+02  4.63108372e+02
 -2.06565177e+02 -1.41149460e+03  1.09874671e+03 -4.73155185e+02 -6.26615833e+02  4.69178987e+02
 -2.13183634e+02 -1.41214600e+03  1.08608961e+03 -4.73658915e+02 -6.23017846e+02  4.75227009e+02
 -2.19821399e+02 -1.41267181e+03  1.07338021e+03 -4.74087458e+02 -6.19423638e+02  4.81252145e+02
 -2.26475600e+02 -1.41307160e+03  1.06061912e+03 -4.74440938e+02 -6.15834929e+02  4.87254107e+02
 -2.33143359e+02 -1.41334503e+03  1.04780695e+03 -4.74719516e+02 -6.12253439e+02  4.93232604e+02
 -2.39821792e+02 -1.41349180e+03  1.03494432e+03 -4.74923393e+02 -6.08680883e+02  4.99187349e+02
 -2.46508006e+02 -1.41351171e+03  1.02203186e+03 -4.75052809e+02 -6.05118971e+02  5.05118056e+02
