             z_1            v_z1             z_2            v_z2
  1.88632393e+03 -6.80603033e+02 -5.46468523e+01  6.86823639e+02
  1.87947254e+03  9.04269781e+01 -4.77773553e+01 -3.88295638e+02
  1.87253064e+03  7.88213098e+01 -4.09055576e+01 -3.89589856e+02
  1.86549856e+03  6.71077171e+01 -3.40317902e+01 -3.90713713e+02
  1.85837665e+03  5.52924235e+01 -2.71563841e+01 -3.91666598e+02
  1.85116525e+03  4.33817066e+01 -2.02796703e+01 -3.92447991e+02
  1.84386470e+03  3.13818947e+01 -1.34019800e+01 -3.93057460e+02
  1.83647536e+03  1.92993633e+01 -6.52364438e+00 -3.93494668e+02
  1.82899759e+03  7.14053182e+00  3.55005243e-01 -3.93759366e+02
  1.82143173e+03 -5.08813977e+00  7.23363767e+00 -3.93851399e+02
  1.81377817e+03 -1.73801544e+01  1.41119217e+01 -3.93770702e+02
  1.80603726e+03 -2.97289815e+01  2.09895260e+01 -3.93517301e+02
  1.79820938e+03 -4.21280600e+01  2.78661194e+01 -3.93091316e+02
  1.79029490e+03 -5.45708025e+01  3.47413708e+01 -3.92492956e+02
  1.78229422e+03 -6.70505981e+01  4.16149491e+01 -3.91722522e+02
  1.77420770e+03 -7.95608164e+01  4.84865232e+01 -3.90780407e+02
  1.76603574e+03 -9.20948107e+01  5.53557624e+01 -3.89667094e+02
  1.75777874e+03 -1.04645922e+02  6.22223357e+01 -3.88383159e+02
  1.74943710e+03 -1.17207481e+02  6.90859125e+01 -3.86929265e+02
  1.74101121e+03 -1.29772814e+02  7.59461623e+01 -3.85306168e+02
  1.73250147e+03 -1.42335245e+02  8.28027547e+01 -3.83514711e+02
  1.72390831e+03 -1.54888100e+02  8.96553596e+01 -3.81555830e+02
  1.71523213e+03 -1.67424709e+02  9.65036469e+01 -3.79430546e+02
  1.70647336e+03 -1.79938410e+02  1.03347287e+02 -3.77139970e+02
  1.69763240e+03 -1.92422555e+02  1.10185950e+02 -3.74685301e+02
  1.68870970e+03 -2.04870510e+02  1.17019307e+02 -3.72067824e+02
  1.67970567e+03 -2.17275661e+02  1.23847028e+02 -3.69288911e+02
  1.67062076e+03 -2.29631418e+02  1.30668785e+02 -3.66350019e+02
  1.66145539e+03 -2.41931213e+02  1.37484250e+02 -3.63252691e+02
  1.65221002e+03 -2.54168512e+02  1.44293094e+02 -3.59998552e+02
  1.64288509e+03 -2.66336811e+02  1.51094989e+02 -3.56589312e+02
  1.63348104e+03 -2.78429645e+02  1.57889608e+02 -3.53026762e+02
  1.62399832e+03 -2.90440587e+02  1.64676624e+02 -3.49312775e+02
  1.61443741e+03 -3.02363255e+02  1.71455709e+02 -3.45449305e+02
  1.60479875e+03 -3.14191312e+02  1.78226537e+02 -3.41438383e+02
  1.59508281e+03 -3.25918473e+02  1.84988783e+02 -3.37282120e+02
  1.58529005e+03 -3.37538505e+02  1.91742120e+02 -3.32982704e+02
  1.57542096e+03 -3.49045232e+02  1.98486223e+02 -3.28542398e+02
  1.56547600e+03 -3.60432539e+02  2.05220768e+02 -3.23963541e+02
  1.55545565e+03 -3.71694373e+02  2.11945430e+02 -3.19248543e+02
  1.54536040e+03 -3.82824748e+02  2.18659886e+02 -3.14399889e+02
  1.53519073e+03 -3.93817748e+02  2.25363812e+02 -3.09420134e+02
  1.52494713e+03 -4.04667530e+02  2.32056884e+02 -3.04311901e+02
  1.51463010e+03 -4.15368326e+02  2.38738782e+02 -2.99077883e+02
  1.50424013e+03 -4.25914447e+02  2.45409183e+02 -2.93720839e+02
  1.49377772e+03 -4.36300288e+02  2.52067765e+02 -2.88243593e+02
  1.48324337e+03 -4.46520325e+02  2.58714209e+02 -2.82649034e+02
  1.47263760e+03 -4.56569126e+02  2.65348194e+02 -2.76940110e+02
  1.46196092e+03 -4.66441347e+02  2.71969401e+02 -2.71119833e+02
  1.45121383e+03 -4.76131740e+02  2.78577511e+02 -2.65191273e+02
  1.44039686e+03 -4.85635150e+02  2.85172205e+02 -2.59157557e+02
  1.42951053e+03 -4.94946525e+02  2.91753166e+02 -2.53021868e+02
