             x_1             y_1             x_2             y_2
  6.49879533e+01 -1.09611891e+03 -2.48947846e+02 -7.95146244e+02
  6.59497786e+01 -1.10095717e+03 -2.52823624e+02 -7.95503184e+02
  6.67961126e+01 -1.10584372e+03 -2.56713194e+02 -7.95785785e+02
  6.75258450e+01 -1.11077587e+03 -2.60614854e+02 -7.95993740e+02
  6.81379279e+01 -1.11575093e+03 -2.64526898e+02 -7.96126785e+02
  6.86313754e+01 -1.12076616e+03 -2.68447614e+02 -7.96184693e+02
  6.90052650e+01 -1.12581883e+03 -2.72375285e+02 -7.96167278e+02
  6.92587375e+01 -1.13090617e+03 -2.76308189e+02 -7.96074392e+02
  6.93909979e+01 -1.13602538e+03 -2.80244603e+02 -7.95905929e+02
  6.94013154e+01 -1.14117367e+03 -2.84182801e+02 -7.95661821e+02
  6.92890239e+01 -1.14634821e+03 -2.88121055e+02 -7.95342038e+02
  6.90535229e+01 -1.15154617e+03 -2.92057639e+02 -7.94946595e+02
  6.86942768e+01 -1.15676470e+03 -2.95990826e+02 -7.94475541e+02
  6.82108161e+01 -1.16200094e+03 -2.99918891e+02 -7.93928969e+02
  6.76027372e+01 -1.16725203e+03 -3.03840111e+02 -7.93307009e+02
  6.68697027e+01 -1.17251507e+03 -3.07752769e+02 -7.92609832e+02
  6.60114416e+01 -1.17778720e+03 -3.11655149e+02 -7.91837648e+02
  6.50277494e+01 -1.18306550e+03 -3.15545542e+02 -7.90990707e+02
  6.39184884e+01 -1.18834710e+03 -3.19422245e+02 -7.90069297e+02
  6.26835872e+01 -1.19362910e+03 -3.23283563e+02 -7.89073746e+02
  6.13230417e+01 -1.19890859e+03 -3.27127807e+02 -7.88004422e+02
  5.98369143e+01 -1.20418268e+03 -3.30953299e+02 -7.86861729e+02
  5.82253339e+01 -1.20944847e+03 -3.34758369e+02 -7.85646113e+02
  5.64884964e+01 -1.21470307e+03 -3.38541359e+02 -7.84358055e+02
  5.46266642e+01 -1.21994360e+03 -3.42300622e+02 -7.82998076e+02
  5.26401660e+01 -1.22516717e+03 -3.46034522e+02 -7.81566735e+02
  5.05293967e+01 -1.23037091e+03 -3.49741440e+02 -7.80064626e+02
  4.82948174e+01 -1.23555197e+03 -3.53419767e+02 -7.78492385e+02
  4.59369549e+01 -1.24070748e+03 -3.57067912e+02 -7.76850679e+02
  4.34564015e+01 -1.24583463e+03 -3.60684298e+02 -7.75140215e+02
  4.08538147e+01 -1.25093057e+03 -3.64267366e+02 -7.73361736e+02
  3.81299168e+01 -1.25599251e+03 -3.67815574e+02 -7.71516020e+02
  3.52854947e+01 -1.26101765e+03 -3.71327397e+02 -7.69603879e+02
  3.23213993e+01 -1.26600323e+03 -3.74801331e+02 -7.67626163e+02
  2.92385450e+01 -1.27094649e+03 -3.78235891e+02 -7.65583754e+02
  2.60379094e+01 -1.27584470e+03 -3.81629614e+02 -7.63477569e+02
  2.27205327e+01 -1.28069516e+03 -3.84981056e+02 -7.61308557e+02
  1.92875170e+01 -1.28549519e+03 -3.88288798e+02 -7.59077701e+02
  1.57400261e+01 -1.29024213e+03 -3.91551443e+02 -7.56786017e+02
  1.20792845e+01 -1.29493336e+03 -3.94767615e+02 -7.54434553e+02
  8.30657687e+00 -1.29956627e+03 -3.97935968e+02 -7.52024386e+02
  4.42324747e+00 -1.30413830e+03 -4.01055176e+02 -7.49556627e+02
  4.30699318e-01 -1.30864691e+03 -4.04123942e+02 -7.47032414e+02
 -3.66960649e+00 -1.31308960e+03 -4.07140995e+02 -7.44452918e+02
 -7.87615160e+00 -1.31746390e+03 -4.10105090e+02 -7.41819336e+02
 -1.21873611e+01 -1.32176737e+03 -4.13015011e+02 -7.39132894e+02
 -1.66016046e+01 -1.32599762e+03 -4.15869571e+02 -7.36394847e+02
 -2.11171968e+01 -1.33015229e+03 -4.18667610e+02 -7.33606475e+02
 -2.57323985e+01 -1.33422906e+03 -4.21408002e+02 -7.30769087e+02
 -3.04454176e+01 -1.33822564e+03 -4.24089646e+02 -7.27884015e+02
 -3.52544100e+01 -1.34213981e+03 -4.26711477e+02 -7.24952617e+02
 -4.01574805e+01 -1.34596937e+03 -4.29272457e+02 -7.21976276e+02
 -4.51526839e+01 -1.34971217e+03 -4.31771585e+02 -7.18956397e+02
 -5.02380259e+01 -1.35336610e+03 -4.34207888e+02 -7.15894408e+02
 -5.54114645e+01 -1.35692912e+03 -4.36580429e+02 -7.12791760e+02
 -6.06709106e+01 -1.36039919e+03 -4.38888304e+02 -7.09649924e+02
 -6.60142294e+01 -1.36377438e+03 -4.41130643e+02 -7.06470393e+02
 -7.14392416e+01 -1.36705275e+03 -4.43306610e+02 -7.03254677e+02
 -7.69437243e+01 -1.37023246e+03 -4.45415405e+02 -7.00004307e+02
 -8.25254123e+01 -1.37331169e+03 -4.47456262e+02 -6.96720832e+02
 -8.81819995e+01 -1.37628868e+03 -4.49428454e+02 -6.93405818e+02
 -9.39111397e+01 -1.37916174e+03 -4.51331286e+02 -6.90060845e+02
 -9.97104481e+01 -1.38192921e+03 -4.53164103e+02 -6.86687512e+02
 -1.05577503e+02 -1.38458949e+03 -4.54926286e+02 -6.83287431e+02
 -1.11509846e+02 -1.38714106e+03 -4.56617252e+02 -6.79862228e+02
 -1.17504983e+02 -1.38958242e+03 -4.58236456e+02 -6.76413542e+02
 -1.23560390e+02 -1.39191217e+03 -4.59783394e+02 -6.72943023e+02
 -1.29673507e+02 -1.39412892e+03 -4.61257595e+02 -6.69452334e+02
 -1.35841745e+02 -1.39623138e+03 -4.62658630e+02 -6.65943148e+02
 -1.42062485e+02 -1.39821831e+03 -4.63986109e+02 -6.62417146e+02
 -1.48333081e+02 -1.40008851e+03 -4.65239677e+02 -6.58876020e+02
 -1.54650860e+02 -1.40184087e+03 -4.66419022e+02 -6.55321467e+02
 -1.61013123e+02 -1.40347432e+03 -4.67523870e+02 -6.51755192e+02
 -1.67417148e+02 -1.40498787e+03 -4.68553986e+02 -6.48178906e+02
 -1.73860190e+02 -1.40638057e+03 -4.69509174e+02 -6.44594324e+02
 -1.80339485e+02 -1.40765156e+03 -4.70389278e+02 -6.41003168e+02
 -1.86852247e+02 -1.40880003e+03 -4.71194182e+02 -6.37407159e+02
 -1.93395675e+02 -1.40982522e+03 -4.71923809e+02 -6.33808022e+02
 -1.99966949e+02 -1.41072647e+03 -4.72578123e+02 -6.30207484e+02
 -2.06563235e+02 -1.41150316e+03 -4.73157127e+02 -6.26607272e+02
 -2.13181685e+02 -1.41215474e+03 -4.73660864e+02 -6.23009112e+02
 -2.19819442e+02 -1.41268072e+03 -4.74089415e+02 -6.19414729e+02
 -2.26473634e+02 -1.41308069e+03 -4.74442904e+02 -6.15825844e+02
 -2.33141383e+02 -1.41335429e+03 -4.74721492e+02 -6.12244178e+02
 -2.39819804e+02 -1.41350124e+03 -4.74925380e+02 -6.08671445e+02
 -2.46506005e+02 -1.41352133e+03 -4.75054810e+02 -6.05109354e+02
 -2.53197089e+02 -1.41341439e+03 -4.75110062e+02 -6.01559610e+02
 -2.59890158e+02 -1.41318035e+03 -4.75091455e+02 -5.98023910e+02
 -2.66582312e+02 -1.41281919e+03 -4.74999347e+02 -5.94503942e+02
 -2.73270650e+02 -1.41233095e+03 -4.74834137e+02 -5.91001386e+02
 -2.79952276e+02 -1.41171575e+03 -4.74596259e+02 -5.87517914e+02
 -2.86624294e+02 -1.41097377e+03 -4.74286188e+02 -5.84055186e+02
 -2.93283814e+02 -1.41010526e+03 -4.73904438e+02 -5.80614850e+02
 -2.99927953e+02 -1.40911053e+03 -4.73451557e+02 -5.77198543e+02
 -3.06553837e+02 -1.40798997e+03 -4.72928135e+02 -5.73807888e+02
 -3.13158598e+02 -1.40674402e+03 -4.72334797e+02 -5.70444495e+02
 -3.19739381e+02 -1.40537320e+03 -4.71672205e+02 -5.67109958e+02
 -3.26293345e+02 -1.40387808e+03 -4.70941058e+02 -5.63805856e+02
 -3.32817659e+02 -1.40225930e+03 -4.70142091e+02 -5.60533752e+02
 -3.39309511e+02 -1.40051759e+03 -4.69276078e+02 -5.57295190e+02
 -3.45766104e+02 -1.39865370e+03 -4.68343823e+02 -5.54091698e+02
 -3.52184659e+02 -1.39666848e+03 -4.67346171e+02 -5.50924782e+02
 -3.58562418e+02 -1.39456283e+03 -4.66283998e+02 -5.47795932e+02
 -3.64896641e+02 -1.39233771e+03 -4.65158216e+02 -5.44706613e+02
 -3.71184614e+02 -1.38999415e+03 -4.63969772e+02 -5.41658273e+02
 -3.77423643e+02 -1.38753325e+03 -4.62719647e+02 -5.38652334e+02
 -3.83611061e+02 -1.38495614e+03 -4.61408854e+02 -5.35690197e+02
 -3.89744225e+02 -1.38226405e+03 -4.60038442e+02 -5.32773240e+02
 -3.95820517e+02 -1.37945825e+03 -4.58609494e+02 -5.29902814e+02
 -4.01837346e+02 -1.37654007e+03 -4.57123126e+02 -5.27080247e+02
 -4.07792147e+02 -1.37351090e+03 -4.55580492e+02 -5.24306839e+02
 -4.13682376e+02 -1.37037219e+03 -4.53982787e+02 -5.21583864e+02
 -4.19505505e+02 -1.36712546e+03 -4.52331251e+02 -5.18912567e+02
 -4.25259008e+02 -1.36377227e+03 -4.50627189e+02 -5.16294166e+02
 -4.30940316e+02 -1.36031424e+03 -4.48872010e+02 -5.13729844e+02
 -4.36546684e+02 -1.35675308e+03 -4.47067366e+02 -5.11220752e+02
 -4.42074487e+02 -1.35309052e+03 -4.45215853e+02 -5.08767992e+02
 -4.47504416e+02 -1.34932856e+03 -4.43335821e+02 -5.06372473e+02
 -4.52845776e+02 -1.34546952e+03 -4.41417068e+02 -5.04034771e+02
 -4.58115272e+02 -1.34151509e+03 -4.39442064e+02 -5.01756120e+02
 -4.63301276e+02 -1.33746708e+03 -4.37421673e+02 -4.99537657e+02
 -4.68400617e+02 -1.33332745e+03 -4.35358376e+02 -4.97380389e+02
 -4.73410895e+02 -1.32909820e+03 -4.33253948e+02 -4.95285275e+02
 -4.78329949e+02 -1.32478142e+03 -4.31109998e+02 -4.93253235e+02
 -4.83155732e+02 -1.32037921e+03 -4.28928082e+02 -4.91285155e+02
 -4.87886282e+02 -1.31589373e+03 -4.26709749e+02 -4.89381880e+02
 -4.92519702e+02 -1.31132721e+03 -4.24456546e+02 -4.87544225e+02
 -4.97054159e+02 -1.30668189e+03 -4.22170030e+02 -4.85772965e+02
 -5.01487876e+02 -1.30196005e+03 -4.19851769e+02 -4.84068842e+02
 -5.05819134e+02 -1.29716404e+03 -4.17503344e+02 -4.82432559e+02
 -5.10046272e+02 -1.29229623e+03 -4.15126348e+02 -4.80864785e+02
 -5.14167684e+02 -1.28735902e+03 -4.12722388e+02 -4.79366150e+02
 -5.18181822e+02 -1.28235486e+03 -4.10293084e+02 -4.77937247e+02
 -5.22087198e+02 -1.27728623e+03 -4.07840066e+02 -4.76578634e+02
 -5.25882378e+02 -1.27215565e+03 -4.05364980e+02 -4.75290828e+02
 -5.29565992e+02 -1.26696566e+03 -4.02869478e+02 -4.74074310e+02
 -5.33136724e+02 -1.26171883e+03 -4.00355225e+02 -4.72929523e+02
 -5.36593322e+02 -1.25641779e+03 -3.97823894e+02 -4.71856870e+02
 -5.39934593e+02 -1.25106515e+03 -3.95277168e+02 -4.70856715e+02
 -5.43159407e+02 -1.24566358e+03 -3.92716737e+02 -4.69929387e+02
 -5.46266694e+02 -1.24021578e+03 -3.90144296e+02 -4.69075171e+02
 -5.49255446e+02 -1.23472444e+03 -3.87561550e+02 -4.68294316e+02
 -5.52124719e+02 -1.22919231e+03 -3.84970206e+02 -4.67587030e+02
 -5.54873632e+02 -1.22362214e+03 -3.82371976e+02 -4.66953484e+02
 -5.57501368e+02 -1.21801670e+03 -3.79768575e+02 -4.66393806e+02
 -5.60007175e+02 -1.21237878e+03 -3.77161720e+02 -4.65908087e+02
 -5.62390362e+02 -1.20671119e+03 -3.74553133e+02 -4.65496379e+02
 -5.64650308e+02 -1.20101676e+03 -3.71944532e+02 -4.65158692e+02
 -5.66786453e+02 -1.19529832e+03 -3.69337637e+02 -4.64894997e+02
 -5.68798304e+02 -1.18955873e+03 -3.66734166e+02 -4.64705226e+02
 -5.70685436e+02 -1.18380083e+03 -3.64135837e+02 -4.64589273e+02
