             z_1            v_z1             z_2            v_z2
  1.88632393e+03 -6.80603033e+02 -5.46468523e+01  6.86823639e+02
  1.87947254e+03  9.04266310e+01 -4.77773553e+01 -3.88295291e+02
  1.87253064e+03  7.88206355e+01 -4.09055575e+01 -3.89589181e+02
  1.86549856e+03  6.71067346e+01 -3.40317898e+01 -3.90712730e+02
  1.85837665e+03  5.52911513e+01 -2.71563833e+01 -3.91665326e+02
  1.85116525e+03  4.33801624e+01 -2.02796691e+01 -3.92446446e+02
  1.84386470e+03  3.13800955e+01 -1.34019783e+01 -3.93055661e+02
  1.83647536e+03  1.92973255e+01 -6.52364207e+00 -3.93492630e+02
  1.82899758e+03  7.13827133e+00  3.55008282e-01 -3.93757106e+02
  1.82143173e+03 -5.09060764e+00  7.23364154e+00 -3.93848931e+02
  1.81377816e+03 -1.73828149e+01  1.41119264e+01 -3.93768041e+02
  1.80603725e+03 -2.97318202e+01  2.09895318e+01 -3.93514463e+02
  1.79820937e+03 -4.21310633e+01  2.78661264e+01 -3.93088313e+02
  1.79029490e+03 -5.45739569e+01  3.47413790e+01 -3.92489801e+02
  1.78229421e+03 -6.70538909e+01  4.16149587e+01 -3.91719229e+02
  1.77420769e+03 -7.95642350e+01  4.84865343e+01 -3.90776988e+02
  1.76603573e+03 -9.20983431e+01  5.53557750e+01 -3.89663562e+02
  1.75777873e+03 -1.04649556e+02  6.22223501e+01 -3.88379524e+02
  1.74943708e+03 -1.17211206e+02  6.90859287e+01 -3.86925540e+02
  1.74101119e+03 -1.29776620e+02  7.59461805e+01 -3.85302362e+02
  1.73250145e+03 -1.42339120e+02  8.28027750e+01 -3.83510836e+02
  1.72390829e+03 -1.54892034e+02  8.96553820e+01 -3.81551896e+02
  1.71523211e+03 -1.67428692e+02  9.65036716e+01 -3.79426562e+02
  1.70647333e+03 -1.79942433e+02  1.03347314e+02 -3.77135946e+02
  1.69763237e+03 -1.92426609e+02  1.10185980e+02 -3.74681247e+02
  1.68870966e+03 -2.04874586e+02  1.17019339e+02 -3.72063748e+02
  1.67970564e+03 -2.17279751e+02  1.23847063e+02 -3.69284822e+02
