               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e+00 -1.07829693e+03 -4.81323372e+02  9.77943976e+02 -1.14328489e+03 -1.14328489e+03 -1.14328489e+03
  2.00000000e+00 -3.64014739e+03  1.67426680e+03 -4.01375617e+02 -2.56185045e+03 -2.56185045e+03 -2.56185045e+03
  3.00000000e+00 -1.88823395e+03  1.04014235e+04 -1.58740838e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  4.00000000e+00 -1.36320514e+02  1.91285802e+04 -2.77344115e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  5.00000000e+00  1.61559292e+03  2.78557369e+04 -3.95947392e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  6.00000000e+00  3.36750636e+03  3.65828936e+04 -5.14550669e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  7.00000000e+00  5.11941979e+03  4.53100503e+04 -6.33153945e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  8.00000000e+00  6.87133323e+03  5.40372070e+04 -7.51757222e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  9.00000000e+00  8.62324666e+03  6.27643637e+04 -8.70360499e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.00000000e+01  1.03751601e+04  7.14915204e+04 -9.88963775e+03  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.10000000e+01  1.21270735e+04  8.02186771e+04 -1.10756705e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.20000000e+01  1.38789870e+04  8.89458338e+04 -1.22617033e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.30000000e+01  1.56309004e+04  9.76729905e+04 -1.34477361e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.40000000e+01  1.73828138e+04  1.06400147e+05 -1.46337688e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.50000000e+01  1.91347273e+04  1.15127304e+05 -1.58198016e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.60000000e+01  2.08866407e+04  1.23854461e+05 -1.70058344e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.70000000e+01  2.26385542e+04  1.32581617e+05 -1.81918671e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.80000000e+01  2.43904676e+04  1.41308774e+05 -1.93778999e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
  1.90000000e+01  2.61423810e+04  1.50035931e+05 -2.05639327e+04  1.75191344e+03  1.75191344e+03  1.75191344e+03
