               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e+01  2.47368922e+06  4.34672357e+05  1.38734126e+05  1.00088254e+06  1.00088254e+06  1.00088254e+06
  2.00000000e+01  1.24825147e+07 -5.65426413e+07  7.76963331e+05  1.00088254e+06  1.00088254e+06  1.00088254e+06
  3.00000000e+01  2.24913401e+07 -1.13519955e+08  1.41519254e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  4.00000000e+01  3.25001655e+07 -1.70497269e+08  2.05342174e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  5.00000000e+01  4.25089909e+07 -2.27474582e+08  2.69165095e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  6.00000000e+01  5.25178164e+07 -2.84451896e+08  3.32988015e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  7.00000000e+01  6.25266418e+07 -3.41429210e+08  3.96810936e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  8.00000000e+01  7.25354672e+07 -3.98406524e+08  4.60633856e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  9.00000000e+01  8.25442927e+07 -4.55383837e+08  5.24456777e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
  1.00000000e+02  9.25531181e+07 -5.12361151e+08  5.88279697e+06  1.00088254e+06  1.00088254e+06  1.00088254e+06
