             y_1            v_y1             y_2            v_y2
 -1.40981701e+03 -6.55782742e+02 -6.33816238e+02 -6.91968077e+01
 -1.41071809e+03 -6.58425932e+02 -6.30215872e+02 -6.16649280e+01
 -1.41149460e+03 -6.60785050e+02 -6.26615833e+02 -5.41353195e+01
 -1.41214600e+03 -6.62858832e+02 -6.23017846e+02 -4.66119574e+01
 -1.41267181e+03 -6.64646162e+02 -6.19423638e+02 -3.90988133e+01
 -1.41307160e+03 -6.66146078e+02 -6.15834929e+02 -3.15998536e+01
 -1.41334503e+03 -6.67357770e+02 -6.12253439e+02 -2.41190370e+01
 -1.41349180e+03 -6.68280580e+02 -6.08680883e+02 -1.66603127e+01
 -1.41351171e+03 -6.68914003e+02 -6.05118971e+02 -9.22761796e+00
 -1.41340460e+03 -6.69257690e+02 -6.01569407e+02 -1.82487624e+00
 -1.41317037e+03 -6.69311443e+02 -5.98033888e+02  5.54400490e+00
 -1.41280903e+03 -6.69075218e+02 -5.94514102e+02  1.28751359e+01
 -1.41232060e+03 -6.68549127e+02 -5.91011730e+02  2.01646472e+01
 -1.41170522e+03 -6.67733432e+02 -5.87528443e+02  2.74086916e+01
 -1.41096305e+03 -6.66628551e+02 -5.84065901e+02  3.46034457e+01
 -1.41009436e+03 -6.65235056e+02 -5.80625753e+02  4.17451125e+01
 -1.40909944e+03 -6.63553670e+02 -5.77209635e+02  4.88299233e+01
 -1.40797869e+03 -6.61585269e+02 -5.73819172e+02  5.58541394e+01
 -1.40673254e+03 -6.59330884e+02 -5.70455973e+02  6.28140542e+01
 -1.40536152e+03 -6.56791693e+02 -5.67121632e+02  6.97059956e+01
 -1.40386620e+03 -6.53969029e+02 -5.63817729e+02  7.65263274e+01
 -1.40224723e+03 -6.50864373e+02 -5.60545826e+02  8.32714513e+01
 -1.40050531e+03 -6.47479356e+02 -5.57307468e+02  8.99378090e+01
 -1.39864121e+03 -6.43815758e+02 -5.54104183e+02  9.65218843e+01
 -1.39665578e+03 -6.39875508e+02 -5.50937479e+02  1.03020204e+02
 -1.39454992e+03 -6.35660678e+02 -5.47808844e+02  1.09429342e+02
 -1.39232458e+03 -6.31173490e+02 -5.44719746e+02  1.15745917e+02
 -1.38998080e+03 -6.26416307e+02 -5.41671630e+02  1.21966599e+02
 -1.38751966e+03 -6.21391637e+02 -5.38665923e+02  1.28088108e+02
 -1.38494232e+03 -6.16102129e+02 -5.35704025e+02  1.34107218e+02
 -1.38224998e+03 -6.10550573e+02 -5.32787314e+02  1.40020754e+02
 -1.37944392e+03 -6.04739897e+02 -5.29917143e+02  1.45825601e+02
 -1.37652547e+03 -5.98673168e+02 -5.27094842e+02  1.51518699e+02
 -1.37349602e+03 -5.92353587e+02 -5.24321713e+02  1.57097049e+02
 -1.37035702e+03 -5.85784490e+02 -5.21599032e+02  1.62557711e+02
 -1.36710998e+03 -5.78969345e+02 -5.18928048e+02  1.67897810e+02
 -1.36375645e+03 -5.71911751e+02 -5.16309983e+02  1.73114533e+02
 -1.36029806e+03 -5.64615435e+02 -5.13746031e+02  1.78205133e+02
 -1.35673647e+03 -5.57084251e+02 -5.11237354e+02  1.83166930e+02
 -1.35307343e+03 -5.49322176e+02 -5.08785087e+02  1.87997312e+02
 -1.34931070e+03 -5.41333312e+02 -5.06390334e+02  1.92693738e+02
 -1.34545012e+03 -5.33121880e+02 -5.04054169e+02  1.97253738e+02
 -1.34149358e+03 -5.24692218e+02 -5.01777632e+02  2.01674911e+02
 -1.33744301e+03 -5.16048781e+02 -4.99561734e+02  2.05954935e+02
 -1.33330039e+03 -5.07196136e+02 -4.97407451e+02  2.10091559e+02
 -1.32906775e+03 -4.98138963e+02 -4.95315728e+02  2.14082610e+02
 -1.32474718e+03 -4.88882049e+02 -4.93287476e+02  2.17925991e+02
 -1.32034079e+03 -4.79430287e+02 -4.91323570e+02  2.21619684e+02
 -1.31585076e+03 -4.69788673e+02 -4.89424853e+02  2.25161751e+02
 -1.31127930e+03 -4.59962305e+02 -4.87592132e+02  2.28550334e+02
 -1.30662867e+03 -4.49956376e+02 -4.85826179e+02  2.31783656e+02
 -1.30190116e+03 -4.39776179e+02 -4.84127730e+02  2.34860022e+02
 -1.29709912e+03 -4.29427095e+02 -4.82497484e+02  2.37777823e+02
 -1.29222491e+03 -4.18914596e+02 -4.80936105e+02  2.40535530e+02
 -1.28728095e+03 -4.08244241e+02 -4.79444219e+02  2.43131703e+02
 -1.28226969e+03 -3.97421672e+02 -4.78022415e+02  2.45564986e+02
 -1.27719362e+03 -3.86452612e+02 -4.76671246e+02  2.47834107e+02
 -1.27205525e+03 -3.75342863e+02 -4.75391224e+02  2.49937886e+02
 -1.26685714e+03 -3.64098299e+02 -4.74182826e+02  2.51875228e+02
 -1.26160187e+03 -3.52724866e+02 -4.73046488e+02  2.53645125e+02
 -1.25629205e+03 -3.41228581e+02 -4.71982610e+02  2.55246661e+02
 -1.25093031e+03 -3.29615523e+02 -4.70991552e+02  2.56679006e+02
 -1.24551934e+03 -3.17891834e+02 -4.70073634e+02  2.57941424e+02
 -1.24006181e+03 -3.06063714e+02 -4.69229138e+02  2.59033265e+02
 -1.23456045e+03 -2.94137420e+02 -4.68458308e+02  2.59953972e+02
 -1.22901800e+03 -2.82119259e+02 -4.67761346e+02  2.60703078e+02
 -1.22343721e+03 -2.70015588e+02 -4.67138415e+02  2.61280206e+02
 -1.21782086e+03 -2.57832809e+02 -4.66589640e+02  2.61685073e+02
 -1.21217176e+03 -2.45577365e+02 -4.66115105e+02  2.61917486e+02
 -1.20649271e+03 -2.33255739e+02 -4.65714854e+02  2.61977342e+02
 -1.20078656e+03 -2.20874449e+02 -4.65388893e+02  2.61864632e+02
 -1.19505613e+03 -2.08440042e+02 -4.65137186e+02  2.61579436e+02
 -1.18930430e+03 -1.95959096e+02 -4.64959658e+02  2.61121929e+02
 -1.18353391e+03 -1.83438213e+02 -4.64856196e+02  2.60492375e+02
 -1.17774786e+03 -1.70884015e+02 -4.64826644e+02  2.59691130e+02
 -1.17194901e+03 -1.58303143e+02 -4.64870810e+02  2.58718639e+02
 -1.16614028e+03 -1.45702250e+02 -4.64988460e+02  2.57575442e+02
 -1.16032453e+03 -1.33088003e+02 -4.65179322e+02  2.56262167e+02
 -1.15450468e+03 -1.20467072e+02 -4.65443085e+02  2.54779532e+02
 -1.14868363e+03 -1.07846133e+02 -4.65779397e+02  2.53128346e+02
 -1.14286426e+03 -9.52318620e+01 -4.66187869e+02  2.51309506e+02
 -1.13704948e+03 -8.26309303e+01 -4.66668073e+02  2.49324000e+02
 -1.13124218e+03 -7.00500024e+01 -4.67219543e+02  2.47172904e+02
 -1.12544525e+03 -5.74957325e+01 -4.67841774e+02  2.44857380e+02
 -1.11966158e+03 -4.49747601e+01 -4.68534223e+02  2.42378679e+02
 -1.11389404e+03 -3.24937073e+01 -4.69296311e+02  2.39738138e+02
 -1.10814549e+03 -2.00591747e+01 -4.70127420e+02  2.36937181e+02
 -1.10241880e+03 -7.67773845e+00 -4.71026895e+02  2.33977314e+02
 -1.09671679e+03  4.64405378e+00 -4.71994046e+02  2.30860132e+02
 -1.09104232e+03  1.68996859e+01 -4.73028145e+02  2.27587309e+02
 -1.08539817e+03  2.90826772e+01 -4.74128429e+02  2.24160605e+02
 -1.07978717e+03  4.11865852e+01 -4.75294100e+02  2.20581860e+02
 -1.07421208e+03  5.32050097e+01 -4.76524324e+02  2.16852994e+02
 -1.06867566e+03  6.51315960e+01 -4.77818233e+02  2.12976009e+02
 -1.06318066e+03  7.69600379e+01 -4.79174924e+02  2.08952983e+02
 -1.05772978e+03  8.86840816e+01 -4.80593462e+02  2.04786074e+02
 -1.05232572e+03  1.00297529e+02 -4.82072878e+02  2.00477513e+02
 -1.04697115e+03  1.11794239e+02 -4.83612169e+02  1.96029611e+02
 -1.04166870e+03  1.23168135e+02 -4.85210303e+02  1.91444748e+02
 -1.03642099e+03  1.34413205e+02 -4.86866213e+02  1.86725380e+02
 -1.03123059e+03  1.45523504e+02 -4.88578802e+02  1.81874034e+02
 -1.02610007e+03  1.56493160e+02 -4.90346946e+02  1.76893305e+02
 -1.02103192e+03  1.67316374e+02 -4.92169485e+02  1.71785858e+02
 -1.01602864e+03  1.77987428e+02 -4.94045236e+02  1.66554426e+02
 -1.01109268e+03  1.88500680e+02 -4.95972983e+02  1.61201808e+02
 -1.00622645e+03  1.98850577e+02 -4.97951484e+02  1.55730864e+02
 -1.00143233e+03  2.09031648e+02 -4.99979469e+02  1.50144521e+02
 -9.96712639e+02  2.19038516e+02 -5.02055643e+02  1.44445766e+02
 -9.92069687e+02  2.28865893e+02 -5.04178683e+02  1.38637643e+02
 -9.87505726e+02  2.38508587e+02 -5.06347241e+02  1.32723258e+02
 -9.83022967e+02  2.47961506e+02 -5.08559947e+02  1.26705771e+02
 -9.78623577e+02  2.57219657e+02 -5.10815404e+02  1.20588398e+02
 -9.74309680e+02  2.66278151e+02 -5.13112194e+02  1.14374406e+02
 -9.70083354e+02  2.75132203e+02 -5.15448876e+02  1.08067115e+02
 -9.65946627e+02  2.83777140e+02 -5.17823988e+02  1.01669896e+02
